italian,english
oltrepassare,to go beyond/to cross
zuccherare,to sugar/to sweeten
affollare,to crowd
intrattenere,to entertain
curiosare,to browse/to nose around
processare,to process/to put on trial
sorvegliare,to monitor/to watch over
parcheggiare,to park
rivalutare,to reevaluate
sterrare,to excavate earth
ancare,to hitch
sbarcare,to disembark
smantellare,to dismantle
delirare,to rave/to be delirious
stentare,to struggle
soccorrere,to help/to rescue
ionizzare,to ionize
multare,to fine
mascherare,to mask/to disguise
prefigurare,to prefigure/to foreshadow
sorreggere,to support
picchiare,to hit
ridisegnare,to redesign
modellare,to model
errare,to err
svuotare,to empty
prestabilire,to predetermine
sforzare,to force/strain
ombrare,to shade
risiedere,to reside
dimorare,to dwell
spigolare,to glean
colare,to strain/drip
intaccare,to affect/damage
imperare,to rule/dominate
inquinare,to pollute
ribaltare,to overturn
sfociare,to flow into
imprigionare,to imprison
perpetuare,to perpetuate
ammonire,to warn
sostare,to stop/park
calcare,to step on/press
templare,to temper
zincare,to galvanize
minare,to undermine
fabbricare,to manufacture
cavalcare,to ride
scartare,to discard
distogliere,to divert
sovrastare,to overhang
marciare,to march
pigliare,to take
confiscare,to confiscate
dettagliare,to detail
estinguere,to extinguish
velocizzare,to speed up
accostare,to approach/to pull over
arrabbiare,to anger (reflexive: to get angry)
guastare,to spoil/to break
ridire,to say again/to object
neutralizzare,to neutralize
perdurare,to last
argentare,to silver
sanzionare,to sanction/to penalize
falare,to fall
formalizzare,to formalize
intrare,to enter (archaic)
degustare,to taste/to savor
fraintendere,to misunderstand
ribellare,to rebel
approntare,to prepare/to arrange
appressare,to approach
sedurre,to seduce
specializzare,to specialize
remare,to row
stabilizzare,to stabilize
trascendere,to transcend
brigare,to scheme/to intrigue
umiliare,to humiliate
comprimere,to compress
splendere,to shine
asfaltare,to asphalt/to pave
inquietare,to worry/to unsettle
baciare,to kiss
saldare,to weld/to balance/to pay off
discernere,to discern
coniare,to coin/to mint
alleare,to ally
congiungere,to join
rieleggere,to re-elect
commercializzare,to commercialize
difare,to undo
arruolare,to enlist
rincorrere,to chase
bucare,to hole
massimizzare,to maximize
bilanciare,to balance
addivenire,to arrive at
targare,to license plate
paralizzare,to paralyze
colorare,to color
incazzare,to piss off
smarrire,to lose
brillantare,to polish
dibattere,to debate
danzare,to dance
risapere,to know of
asserire,to assert
disarmare,to disarm
individualizzare,to individualize
impiantare,to plant
disobbedire,to disobey
sconsigliare,to advise against
invalidare,to invalidate
dilagare,to spread
reimpiegare,to re-employ
affinare,to refine
improvvisare,to improvise
campare,to survive
presagire,to presage
fogliare,to leaf
vagare,to wander
dimezzare,to halve
ravvicinare,to reconcile
quotare,to quote
faticare,to struggle
disattendere,to disregard
sanzare,to sanction/fine
dicasare,to evict
desumere,to infer
oddiare,to hate
aggiustare,to fix / to adjust
noleggiare,to rent
rimproverare,to reproach / to scold
sovrapporre,to superimpose / to overlap
dirimere,to settle / to resolve
atterrare,to land / to throw to the ground
prediligere,to prefer
vibrare,to vibrate
disusare,to disuse
trionfare,to triumph
risanare,to restore / to heal
