italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
sviluppare,to develop,ho sviluppato,I have developed,hai sviluppato,you have developed,ha sviluppato,he/she has developed,abbiamo sviluppato,we have developed,avete sviluppato,you all have developed,hanno sviluppato,they have developed
giocare,to play,ho giocato,I have played,hai giocato,you have played,ha giocato,he/she has played,abbiamo giocato,we have played,avete giocato,you all have played,hanno giocato,they have played
dimostrare,to demonstrate,ho dimostrato,I have demonstrated,hai dimostrato,you have demonstrated,ha dimostrato,he/she has demonstrated,abbiamo dimostrato,we have demonstrated,avete dimostrato,you all have demonstrated,hanno dimostrato,they have demonstrated
riconoscere,to recognize,ho riconosciuto,I have recognized,hai riconosciuto,you have recognized,ha riconosciuto,he/she has recognized,abbiamo riconosciuto,we have recognized,avete riconosciuto,you all have recognized,hanno riconosciuto,they have recognized
adottare,to adopt,ho adottato,I have adopted,hai adottato,you have adopted,ha adottato,he/she has adopted,abbiamo adottato,we have adopted,avete adottato,you all have adopted,hanno adottato,they have adopted
sperare,to hope,ho sperato,I have hoped,hai sperato,you have hoped,ha sperato,he/she has hoped,abbiamo sperato,we have hoped,avete sperato,you all have hoped,hanno sperato,they have hoped
gestire,to manage,ho gestito,I have managed,hai gestito,you have managed,ha gestito,he/she has managed,abbiamo gestito,we have managed,avete gestito,you all have managed,hanno gestito,they have managed
raccontare,to tell,ho raccontato,I have told,hai raccontato,you have told,ha raccontato,he/she has told,abbiamo raccontato,we have told,avete raccontato,you all have told,hanno raccontato,they have told
comporre,to compose,ho composto,I have composed,hai composto,you have composed,ha composto,he/she has composed,abbiamo composto,we have composed,avete composto,you all have composed,hanno composto,they have composed
aiutare,to help,ho aiutato,I have helped,hai aiutato,you have helped,ha aiutato,he/she has helped,abbiamo aiutato,we have helped,avete aiutato,you all have helped,hanno aiutato,they have helped
mancare,to lack/miss,sono mancato/a,I have been missing/absent,sei mancato/a,you have been missing/absent,è mancato/a,he/she has been missing/absent,siamo mancati/e,we have been missing/absent,siete mancati/e,you all have been missing/absent,sono mancati/e,they have been missing/absent
finire,to finish,ho finito,I have finished,hai finito,you have finished,ha finito,he/she has finished,abbiamo finito,we have finished,avete finito,you all have finished,hanno finito,they have finished
operare,to operate,ho operato,I have operated,hai operato,you have operated,ha operato,he/she has operated,abbiamo operato,we have operated,avete operato,you all have operated,hanno operato,they have operated
comunicare,to communicate,ho comunicato,I have communicated,hai comunicato,you have communicated,ha comunicato,he/she has communicated,abbiamo comunicato,we have communicated,avete comunicato,you all have communicated,hanno comunicato,they have communicated
vincere,to win,ho vinto,I have won,hai vinto,you have won,ha vinto,he/she has won,abbiamo vinto,we have won,avete vinto,you all have won,hanno vinto,they have won
occupare,to occupy,ho occupato,I have occupied,hai occupato,you have occupied,ha occupato,he/she has occupied,abbiamo occupato,we have occupied,avete occupato,you all have occupied,hanno occupato,they have occupied
aumentare,to increase,ho aumentato,I have increased,hai aumentato,you have increased,ha aumentato,he/she has increased,abbiamo aumentato,we have increased,avete aumentato,you all have increased,hanno aumentato,they have increased
succedere,to happen,sono successo/a,it has happened,sei successo/a,it has happened,è successo/a,it has happened,siamo successi/e,they have happened,siete successi/e,they have happened,sono successi/e,they have happened
consistere,to consist,ho consistito,I have consisted,hai consistito,you have consisted,ha consistito,he/she has consisted,abbiamo consistito,we have consisted,avete consistito,you all have consisted,hanno consistito,they have consisted
agire,to act,ho agito,I have acted,hai agito,you have acted,ha agito,he/she has acted,abbiamo agito,we have acted,avete agito,you all have acted,hanno agito,they have acted
concernere,to concern,ho concernito,I have concerned,hai concernito,you have concerned,ha concernito,he/she has concerned,abbiamo concernito,we have concerned,avete concernito,you all have concerned,hanno concernito,they have concerned
scoprire,to discover,ho scoperto,I have discovered,hai scoperto,you have discovered,ha scoperto,he/she has discovered,abbiamo scoperto,we have discovered,avete scoperto,you all have discovered,hanno scoperto,they have discovered
notare,to notice,ho notato,I have noticed,hai notato,you have noticed,ha notato,he/she has noticed,abbiamo notato,we have noticed,avete notato,you all have noticed,hanno notato,they have noticed
provare,to try,ho provato,I have tried,hai provato,you have tried,ha provato,he/she has tried,abbiamo provato,we have tried,avete provato,you all have tried,hanno provato,they have tried
accettare,to accept,ho accettato,I have accepted,hai accettato,you have accepted,ha accettato,he/she has accepted,abbiamo accettato,we have accepted,avete accettato,you all have accepted,hanno accettato,they have accepted
discutere,to discuss,ho discusso,I have discussed,hai discusso,you have discussed,ha discusso,he/she has discussed,abbiamo discusso,we have discussed,avete discusso,you all have discussed,hanno discusso,they have discussed
dipendere,to depend,sono dipeso/a,I depended,sei dipeso/a,you depended,è dipeso/a,he/she depended,siamo dipesi/e,we depended,siete dipesi/e,you all depended,sono dipesi/e,they depended
osservare,to observe,ho osservato,I observed,hai osservato,you observed,ha osservato,he/she observed,abbiamo osservato,we observed,avete osservato,you all observed,hanno osservato,they observed
legare,to tie,ho legato,I tied,hai legato,you tied,ha legato,he/she tied,abbiamo legato,we tied,avete legato,you all tied,hanno legato,they tied
rischiare,to risk,ho rischiato,I risked,hai rischiato,you risked,ha rischiato,he/she risked,abbiamo rischiato,we risked,avete rischiato,you all risked,hanno rischiato,they risked
crescere,to grow,sono cresciuto/a,I grew,sei cresciuto/a,you grew,è cresciuto/a,he/she grew,siamo cresciuti/e,we grew,siete cresciuti/e,you all grew,sono cresciuti/e,they grew
interessare,to interest,ho interessato,I interested,hai interessato,you interested,ha interessato,he/she interested,abbiamo interessato,we interested,avete interessato,you all interested,hanno interessato,they interested
mostrare,to show,ho mostrato,I showed,hai mostrato,you showed,ha mostrato,he/she showed,abbiamo mostrato,we showed,avete mostrato,you all showed,hanno mostrato,they showed
riferire,to report,ho riferito,I reported,hai riferito,you reported,ha riferito,he/she reported,abbiamo riferito,we reported,avete riferito,you all reported,hanno riferito,they reported
determinare,to determine,ho determinato,I determined,hai determinato,you determined,ha determinato,he/she determined,abbiamo determinato,we determined,avete determinato,you all determined,hanno determinato,they determined
iscrivere,to enroll,ho iscritto,I enrolled,hai iscritto,you enrolled,ha iscritto,he/she enrolled,abbiamo iscritto,we enrolled,avete iscritto,you all enrolled,hanno iscritto,they enrolled
riportare,to bring back,ho riportato,I brought back,hai riportato,you brought back,ha riportato,he/she brought back,abbiamo riportato,we brought back,avete riportato,you all brought back,hanno riportato,they brought back
decorrere,to elapse,sono decorso/a,it expired,sei decorso/a,you expired,è decorso/a,it expired,siamo decorsi/e,we expired,siete decorsi/e,you all expired,sono decorsi/e,they expired
morire,to die,sono morto/a,I died,sei morto/a,you died,è morto/a,he/she died,siamo morti/e,we died,siete morti/e,you all died,sono morti/e,they died
controllare,to control,ho controllato,I checked,hai controllato,you checked,ha controllato,he/she checked,abbiamo controllato,we checked,avete controllato,you all checked,hanno controllato,they checked
ascoltare,to listen,ho ascoltato,I listened,hai ascoltato,you listened,ha ascoltato,he/she listened,abbiamo ascoltato,we listened,avete ascoltato,you all listened,hanno ascoltato,they listened
confermare,to confirm,ho confermato,I confirmed,hai confermato,you confirmed,ha confermato,he/she confirmed,abbiamo confermato,we confirmed,avete confermato,you all confirmed,hanno confermato,they confirmed
concludere,to conclude,ho concluso,I concluded,hai concluso,you concluded,ha concluso,he/she concluded,abbiamo concluso,we concluded,avete concluso,you all concluded,hanno concluso,they concluded
coinvolgere,to involve,ho coinvolto,I involved,hai coinvolto,you involved,ha coinvolto,he/she involved,abbiamo coinvolto,we involved,avete coinvolto,you all involved,hanno coinvolto,they involved
accadere,to happen,sono accaduto/a,it happened,sei accaduto/a,it happened,è accaduto/a,it happened,siamo accaduti/e,it happened,siete accaduti/e,it happened,sono accaduti/e,it happened
mangiare,to eat,ho mangiato,I ate,hai mangiato,you ate,ha mangiato,he/she ate,abbiamo mangiato,we ate,avete mangiato,you all ate,hanno mangiato,they ate
rivolgere,to turn,ho rivolto,I have directed,hai rivolto,you have directed,ha rivolto,he/she has directed,abbiamo rivolto,we have directed,avete rivolto,you all have directed,hanno rivolto,they have directed
rivoltare,to turn over,ho rivoltato,I have turned over,hai rivoltato,you have turned over,ha rivoltato,he/she has turned over,abbiamo rivoltato,we have turned over,avete rivoltato,you all have turned over,hanno rivoltato,they have turned over
proseguire,to continue,ho/sono proseguito/a,I have continued / I went on,hai/sei proseguito/a,you have continued / you went on,ha/è proseguito/a,he/she has continued / he/she went on,abbiamo/siamo proseguiti/e,we have continued / we went on,avete/siete proseguiti/e,you all have continued / you all went on,hanno/sono proseguiti/e,they have continued / they went on
registrare,to register,ho registrato,I have recorded,hai registrato,you have recorded,ha registrato,he/she has recorded,abbiamo registrato,we have recorded,avete registrato,you all have recorded,hanno registrato,they have recorded
funzionare,to function,ho funzionato,I have functioned,hai funzionato,you have functioned,ha funzionato,it has functioned,abbiamo funzionato,we have functioned,avete funzionato,you all have functioned,hanno funzionato,they have functioned
votare,to vote,ho votato,I have voted,hai votato,you have voted,ha votato,he/she has voted,abbiamo votato,we have voted,avete votato,you all have voted,hanno votato,they have voted
compiere,to accomplish,ho compiuto,I have accomplished,hai compiuto,you have accomplished,ha compiuto,he/she has accomplished,abbiamo compiuto,we have accomplished,avete compiuto,you all have accomplished,hanno compiuto,they have accomplished
rispettare,to respect,ho rispettato,I have respected,hai rispettato,you have respected,ha rispettato,he/she has respected,abbiamo rispettato,we have respected,avete rispettato,you all have respected,hanno rispettato,they have respected
combattere,to fight,ho combattuto,I have fought,hai combattuto,you have fought,ha combattuto,he/she has fought,abbiamo combattuto,we have fought,avete combattuto,you all have fought,hanno combattuto,they have fought
imparare,to learn,ho imparato,I have learned,hai imparato,you have learned,ha imparato,he/she has learned,abbiamo imparato,we have learned,avete imparato,you all have learned,hanno imparato,they have learned
formare,to form,ho formato,I have formed,hai formato,you have formed,ha formato,he/she has formed,abbiamo formato,we have formed,avete formato,you all have formed,hanno formato,they have formed
colpire,to hit,ho colpito,I have hit,hai colpito,you have hit,ha colpito,he/she has hit,abbiamo colpito,we have hit,avete colpito,you all have hit,hanno colpito,they have hit
dimenticare,to forget,ho dimenticato,I have forgotten,hai dimenticato,you have forgotten,ha dimenticato,he/she has forgotten,abbiamo dimenticato,we have forgotten,avete dimenticato,you all have forgotten,hanno dimenticato,they have forgotten
impegnare,to commit,ho impegnato,I have committed,hai impegnato,you have committed,ha impegnato,he/she has committed,abbiamo impegnato,we have committed,avete impegnato,you all have committed,hanno impegnato,they have committed
difendere,to defend,ho difeso,I have defended,hai difeso,you have defended,ha difeso,he/she has defended,abbiamo difeso,we have defended,avete difeso,you all have defended,hanno difeso,they have defended
appartenere,to belong,sono appartenuto/a,I have belonged,sei appartenuto/a,you have belonged,è appartenuto/a,he/she has belonged,siamo appartenuti/e,we have belonged,siete appartenuti/e,you all have belonged,sono appartenuti/e,they have belonged
annunciare,to announce,ho annunciato,I have announced,hai annunciato,you have announced,ha annunciato,he/she has announced,abbiamo annunciato,we have announced,avete annunciato,you all have announced,hanno annunciato,they have announced
tendere,to tend,ho teso,I have stretched/tended,hai teso,you have stretched/tended,ha teso,he/she has stretched/tended,abbiamo teso,we have stretched/tended,avete teso,you all have stretched/tended,hanno teso,they have stretched/tended
fissare,to fix,ho fissato,I have fixed/stared,hai fissato,you have fixed/stared,ha fissato,he/she has fixed/stared,abbiamo fissato,we have fixed/stared,avete fissato,you all have fixed/stared,hanno fissato,they have fixed/stared
riflettere,to reflect,ho riflettuto,I have reflected,hai riflettuto,you have reflected,ha riflettuto,he/she has reflected,abbiamo riflettuto,we have reflected,avete riflettuto,you all have reflected,hanno riflettuto,they have reflected
firmare,to sign,ho firmato,I signed / I have signed,hai firmato,you signed / you have signed,ha firmato,he/she signed / he/she has signed,abbiamo firmato,we signed / we have signed,avete firmato,you all signed / you all have signed,hanno firmato,they signed / they have signed
salire,to go up,sono salito/a,I went up / I have gone up,sei salito/a,you went up / you have gone up,è salito/a,he/she went up / he/she has gone up,siamo saliti/e,we went up / we have gone up,siete saliti/e,you all went up / you all have gone up,sono saliti/e,they went up / they have gone up
istituire,to establish,ho istituito,I established / I have established,hai istituito,you established / you have established,ha istituito,he/she established / he/she has established,abbiamo istituito,we established / we have established,avete istituito,you all established / you all have established,hanno istituito,they established / they have established
costringere,to force,ho costretto,I forced / I have forced,hai costretto,you forced / you have forced,ha costretto,he/she forced / he/she has forced,abbiamo costretto,we forced / we have forced,avete costretto,you all forced / you all have forced,hanno costretto,they forced / they have forced
eliminare,to eliminate,ho eliminato,I eliminated / I have eliminated,hai eliminato,you eliminated / you have eliminated,ha eliminato,he/she eliminated / he/she has eliminated,abbiamo eliminato,we eliminated / we have eliminated,avete eliminato,you all eliminated / you all have eliminated,hanno eliminato,they eliminated / they have eliminated
studiare,to study,ho studiato,I studied / I have studied,hai studiato,you studied / you have studied,ha studiato,he/she studied / he/she has studied,abbiamo studiato,we studied / we have studied,avete studiato,you all studied / you all have studied,hanno studiato,they studied / they have studied
contribuire,to contribute,ho contribuito,I contributed / I have contributed,hai contribuito,you contributed / you have contributed,ha contribuito,he/she contributed / he/she has contributed,abbiamo contribuito,we contributed / we have contributed,avete contribuito,you all contributed / you all have contributed,hanno contribuito,they contributed / they have contributed
rilevare,to detect,ho rilevato,I detected / I have detected,hai rilevato,you detected / you have detected,ha rilevato,he/she detected / he/she has detected,abbiamo rilevato,we detected / we have detected,avete rilevato,you all detected / you all have detected,hanno rilevato,they detected / they have detected
spettare,to be due,ho spettato,I was due / I have been due,hai spettato,you were due / you have been due,ha spettato,he/she was due / he/she has been due,abbiamo spettato,we were due / we have been due,avete spettato,you all were due / you all have been due,hanno spettato,they were due / they have been due
convincere,to convince,ho convinto,I convinced / I have convinced,hai convinto,you convinced / you have convinced,ha convinto,he/she convinced / he/she has convinced,abbiamo convinto,we convinced / we have convinced,avete convinto,you all convinced / you all have convinced,hanno convinto,they convinced / they have convinced
esercitare,to exercise,ho esercitato,I exercised / I have exercised,hai esercitato,you exercised / you have exercised,ha esercitato,he/she exercised / he/she has exercised,abbiamo esercitato,we exercised / we have exercised,avete esercitato,you all exercised / you all have exercised,hanno esercitato,they exercised / they have exercised
emergere,to emerge,sono emerso/a,I emerged / I have emerged,sei emerso/a,you emerged / you have emerged,è emerso/a,he/she emerged / he/she has emerged,siamo emersi/e,we emerged / we have emerged,siete emersi/e,you all emerged / you all have emerged,sono emersi/e,they emerged / they have emerged
raccogliere,to collect,ho raccolto,I gathered / I have gathered,hai raccolto,you gathered / you have gathered,ha raccolto,he/she gathered / he/she has gathered,abbiamo raccolto,we gathered / we have gathered,avete raccolto,you all gathered / you all have gathered,hanno raccolto,they gathered / they have gathered
invitare,to invite,ho invitato,I invited / I have invited,hai invitato,you invited / you have invited,ha invitato,he/she invited / he/she has invited,abbiamo invitato,we invited / we have invited,avete invitato,you all invited / you all have invited,hanno invitato,they invited / they have invited
uccidere,to kill,ho ucciso,I killed / I have killed,hai ucciso,you killed / you have killed,ha ucciso,he/she killed / he/she has killed,abbiamo ucciso,we killed / we have killed,avete ucciso,you all killed / you all have killed,hanno ucciso,they killed / they have killed
eleggere,to elect,ho eletto,I elected / I have elected,hai eletto,you elected / you have elected,ha eletto,he/she elected / he/she has elected,abbiamo eletto,we elected / we have elected,avete eletto,you all elected / you all have elected,hanno eletto,they elected / they have elected
salvare,to save,ho salvato,I saved / I have saved,hai salvato,you saved / you have saved,ha salvato,he/she saved / he/she has saved,abbiamo salvato,we saved / we have saved,avete salvato,you all saved / you all have saved,hanno salvato,they saved / they have saved
sbagliare,to make a mistake,ho sbagliato,I made a mistake / I have made a mistake,hai sbagliato,you made a mistake / you have made a mistake,ha sbagliato,he/she made a mistake / he/she has made a mistake,abbiamo sbagliato,we made a mistake / we have made a mistake,avete sbagliato,you all made a mistake / you all have made a mistake,hanno sbagliato,they made a mistake / they have made a mistake
acquisire,to acquire,ho acquisito,I acquired / I have acquired,hai acquisito,you acquired / you have acquired,ha acquisito,he/she acquired / he/she has acquired,abbiamo acquisito,we acquired / we have acquired,avete acquisito,you all acquired / you all have acquired,hanno acquisito,they acquired / they have acquired
aspettare,to wait,ho aspettato,I waited / I have waited,hai aspettato,you waited / you have waited,ha aspettato,he/she waited / he/she has waited,abbiamo aspettato,we waited / we have waited,avete aspettato,you all waited / you all have waited,hanno aspettato,they waited / they have waited
recuperare,to recover,ho recuperato,I have recovered,hai recuperato,you have recovered,ha recuperato,he/she has recovered,abbiamo recuperato,we have recovered,avete recuperato,you all have recovered,hanno recuperato,they have recovered
chiudere,to close,ho chiuso,I have closed,hai chiuso,you have closed,ha chiuso,he/she has closed,abbiamo chiuso,we have closed,avete chiuso,you all have closed,hanno chiuso,they have closed
diffondere,to spread,ho diffuso,I have spread,hai diffuso,you have spread,ha diffuso,he/she has spread,abbiamo diffuso,we have spread,avete diffuso,you all have spread,hanno diffuso,they have spread
introdurre,to introduce,ho introdotto,I have introduced,hai introdotto,you have introduced,ha introdotto,he/she has introduced,abbiamo introdotto,we have introduced,avete introdotto,you all have introduced,hanno introdotto,they have introduced
avviare,to start,ho avviato,I have started,hai avviato,you have started,ha avviato,he/she has started,abbiamo avviato,we have started,avete avviato,you all have started,hanno avviato,they have started
acquistare,to buy,ho acquistato,I have bought,hai acquistato,you have bought,ha acquistato,he/she has bought,abbiamo acquistato,we have bought,avete acquistato,you all have bought,hanno acquistato,they have bought
nominare,to name,ho nominato,I have nominated,hai nominato,you have nominated,ha nominato,he/she has nominated,abbiamo nominato,we have nominated,avete nominato,you all have nominated,hanno nominato,they have nominated
amare,to love,ho amato,I have loved,hai amato,you have loved,ha amato,he/she has loved,abbiamo amato,we have loved,avete amato,you all have loved,hanno amato,they have loved
condurre,to lead,ho condotto,I have conducted,hai condotto,you have conducted,ha condotto,he/she has conducted,abbiamo condotto,we have conducted,avete condotto,you all have conducted,hanno condotto,they have conducted
vistare,to stamp/approve,ho vistato,I have checked/stamped,hai vistato,you have checked/stamped,ha vistato,he/she has checked/stamped,abbiamo vistato,we have checked/stamped,avete vistato,you all have checked/stamped,hanno vistato,they have checked/stamped
contare,to count,ho contato,I have counted,hai contato,you have counted,ha contato,he/she has counted,abbiamo contato,we have counted,avete contato,you all have counted,hanno contato,they have counted
fondare,to found,ho fondato,I have founded,hai fondato,you have founded,ha fondato,he/she has founded,abbiamo fondato,we have founded,avete fondato,you all have founded,hanno fondato,they have founded
impedire,to prevent,ho impedito,I have prevented,hai impedito,you have prevented,ha impedito,he/she has prevented,abbiamo impedito,we have prevented,avete impedito,you all have prevented,hanno impedito,they have prevented
rilasciare,to release,ho rilasciato,I have released,hai rilasciato,you have released,ha rilasciato,he/she has released,abbiamo rilasciato,we have released,avete rilasciato,you all have released,hanno rilasciato,they have released
autorizzare,to authorize,ho autorizzato,I have authorized,hai autorizzato,you have authorized,ha autorizzato,he/she has authorized,abbiamo autorizzato,we have authorized,avete autorizzato,you all have authorized,hanno autorizzato,they have authorized
precisare,to clarify,ho precisato,I have clarified,hai precisato,you have clarified,ha precisato,he/she has clarified,abbiamo precisato,we have clarified,avete precisato,you all have clarified,hanno precisato,they have clarified
eseguire,to execute,ho eseguito,I have executed,hai eseguito,you have executed,ha eseguito,he/she has executed,abbiamo eseguito,we have executed,avete eseguito,you all have executed,hanno eseguito,they have executed
ammettere,to admit,ho ammesso,I have admitted,hai ammesso,you have admitted,ha ammesso,he/she has admitted,abbiamo ammesso,we have admitted,avete ammesso,you all have admitted,hanno ammesso,they have admitted
citare,to cite,ho citato,I have cited,hai citato,you have cited,ha citato,he/she has cited,abbiamo citato,we have cited,avete citato,you all have cited,hanno citato,they have cited
soddisfare,to satisfy,ho soddisfatto,I have satisfied,hai soddisfatto,you have satisfied,ha soddisfatto,he/she has satisfied,abbiamo soddisfatto,we have satisfied,avete soddisfatto,you all have satisfied,hanno soddisfatto,they have satisfied
visitare,to visit,ho visitato,I visited,hai visitato,you visited,ha visitato,he/she visited,abbiamo visitato,we visited,avete visitato,you all visited,hanno visitato,they visited
segnalare,to signal,ho segnalato,I reported,hai segnalato,you reported,ha segnalato,he/she reported,abbiamo segnalato,we reported,avete segnalato,you all reported,hanno segnalato,they reported
caratterizzare,to characterize,ho caratterizzato,I characterized,hai caratterizzato,you characterized,ha caratterizzato,he/she characterized,abbiamo caratterizzato,we characterized,avete caratterizzato,you all characterized,hanno caratterizzato,they characterized
trasmettere,to transmit,ho trasmesso,I transmitted,hai trasmesso,you transmitted,ha trasmesso,he/she transmitted,abbiamo trasmesso,we transmitted,avete trasmesso,you all transmitted,hanno trasmesso,they transmitted
imporre,to impose,ho imposto,I imposed,hai imposto,you imposed,ha imposto,he/she imposed,abbiamo imposto,we imposed,avete imposto,you all imposed,hanno imposto,they imposed
correggere,to correct,ho corretto,I corrected,hai corretto,you corrected,ha corretto,he/she corrected,abbiamo corretto,we corrected,avete corretto,you all corrected,hanno corretto,they corrected
basare,to base,ho basato,I based,hai basato,you based,ha basato,he/she based,abbiamo basato,we based,avete basato,you all based,hanno basato,they based
sottoporre,to subject,ho sottoposto,I subjected,hai sottoposto,you subjected,ha sottoposto,he/she subjected,abbiamo sottoposto,we subjected,avete sottoposto,you all subjected,hanno sottoposto,they subjected
immaginare,to imagine,ho immaginato,I imagined,hai immaginato,you imagined,ha immaginato,he/she imagined,abbiamo immaginato,we imagined,avete immaginato,you all imagined,hanno immaginato,they imagined
correre,to run,sono corso/a,I ran,sei corso/a,you ran,è corso/a,he/she ran,siamo corsi/e,we ran,siete corsi/e,you all ran,sono corsi/e,they ran
vendere,to sell,ho venduto,I sold,hai venduto,you sold,ha venduto,he/she sold,abbiamo venduto,we sold,avete venduto,you all sold,hanno venduto,they sold
ricorrere,to resort,sono ricorso/a,I resorted,sei ricorso/a,you resorted,è ricorso/a,he/she resorted,siamo ricorsi/e,we resorted,siete ricorsi/e,you all resorted,sono ricorsi/e,they resorted
approfondire,to deepen,ho approfondito,I deepened,hai approfondito,you deepened,ha approfondito,he/she deepened,abbiamo approfondito,we deepened,avete approfondito,you all deepened,hanno approfondito,they deepened
rivelare,to reveal,ho rivelato,I revealed,hai rivelato,you revealed,ha rivelato,he/she revealed,abbiamo rivelato,we revealed,avete rivelato,you all revealed,hanno rivelato,they revealed
condividere,to share,ho condiviso,I shared,hai condiviso,you shared,ha condiviso,he/she shared,abbiamo condiviso,we shared,avete condiviso,you all shared,hanno condiviso,they shared
cadere,to fall,sono caduto/a,I fell,sei caduto/a,you fell,è caduto/a,he/she fell,siamo caduti/e,we fell,siete caduti/e,you all fell,sono caduti/e,they fell
subire,to suffer,ho subito,I underwent,hai subito,you underwent,ha subito,he/she underwent,abbiamo subito,we underwent,avete subito,you all underwent,hanno subito,they underwent
costare,to cost,sono costato/a,I cost,sei costato/a,you cost,è costato/a,he/she cost,siamo costati/e,we cost,siete costati/e,you all cost,sono costati/e,they cost
affidare,to entrust,ho affidato,I entrusted,hai affidato,you entrusted,ha affidato,he/she entrusted,abbiamo affidato,we entrusted,avete affidato,you all entrusted,hanno affidato,they entrusted
conseguire,to achieve,ho conseguito,I achieved,hai conseguito,you achieved,ha conseguito,he/she achieved,abbiamo conseguito,we achieved,avete conseguito,you all achieved,hanno conseguito,they achieved
accompagnare,to accompany,ho accompagnato,I have accompanied,hai accompagnato,you have accompanied,ha accompagnato,he/she has accompanied,abbiamo accompagnato,we have accompanied,avete accompagnato,you all have accompanied,hanno accompagnato,they have accompanied
revocare,to revoke,ho revocato,I have revoked,hai revocato,you have revoked,ha revocato,he/she has revoked,abbiamo revocato,we have revoked,avete revocato,you all have revoked,hanno revocato,they have revoked
toccare,to touch,ho toccato,I have touched,hai toccato,you have touched,ha toccato,he/she has touched,abbiamo toccato,we have touched,avete toccato,you all have touched,hanno toccato,they have touched
lanciare,to throw,ho lanciato,I have thrown,hai lanciato,you have thrown,ha lanciato,he/she has thrown,abbiamo lanciato,we have thrown,avete lanciato,you all have thrown,hanno lanciato,they have thrown
assegnare,to assign,ho assegnato,I have assigned,hai assegnato,you have assigned,ha assegnato,he/she has assigned,abbiamo assegnato,we have assigned,avete assegnato,you all have assigned,hanno assegnato,they have assigned
possedere,to possess,ho posseduto,I have possessed,hai posseduto,you have possessed,ha posseduto,he/she has possessed,abbiamo posseduto,we have possessed,avete posseduto,you all have possessed,hanno posseduto,they have possessed
evidenziare,to highlight,ho evidenziato,I have highlighted,hai evidenziato,you have highlighted,ha evidenziato,he/she has highlighted,abbiamo evidenziato,we have highlighted,avete evidenziato,you all have highlighted,hanno evidenziato,they have highlighted
sottoscrivere,to subscribe,ho sottoscritto,I have signed,hai sottoscritto,you have signed,ha sottoscritto,he/she has signed,abbiamo sottoscritto,we have signed,avete sottoscritto,you all have signed,hanno sottoscritto,they have signed
fermare,to stop,ho fermato,I have stopped,hai fermato,you have stopped,ha fermato,he/she has stopped,abbiamo fermato,we have stopped,avete fermato,you all have stopped,hanno fermato,they have stopped
riservare,to reserve,ho riservato,I have reserved,hai riservato,you have reserved,ha riservato,he/she has reserved,abbiamo riservato,we have reserved,avete riservato,you all have reserved,hanno riservato,they have reserved
preferire,to prefer,ho preferito,I have preferred,hai preferito,you have preferred,ha preferito,he/she has preferred,abbiamo preferito,we have preferred,avete preferito,you all have preferred,hanno preferito,they have preferred
corrispondere,to correspond,ho corrisposto,I have corresponded,hai corrisposto,you have corresponded,ha corrisposto,he/she has corresponded,abbiamo corrisposto,we have corresponded,avete corrisposto,you all have corresponded,hanno corrisposto,they have corresponded
muovere,to move,ho mosso,I have moved,hai mosso,you have moved,ha mosso,he/she has moved,abbiamo mosso,we have moved,avete mosso,you all have moved,hanno mosso,they have moved
terminare,to finish,ho terminato,I have finished,hai terminato,you have finished,ha terminato,he/she has finished,abbiamo terminato,we have finished,avete terminato,you all have finished,hanno terminato,they have finished
prescindere,to prescind,ho presciso,I have prescinded,hai presciso,you have prescinded,ha presciso,he/she has prescinded,abbiamo presciso,we have prescinded,avete presciso,you all have prescinded,hanno presciso,they have prescinded
accogliere,to welcome,ho accolto,I have welcomed,hai accolto,you have welcomed,ha accolto,he/she has welcomed,abbiamo accolto,we have welcomed,avete accolto,you all have welcomed,hanno accolto,they have welcomed
dirigere,to direct,ho diretto,I have directed,hai diretto,you have directed,ha diretto,he/she has directed,abbiamo diretto,we have directed,avete diretto,you all have directed,hanno diretto,they have directed
attribuire,to attribute,ho attribuito,I have attributed,hai attribuito,you have attributed,ha attribuito,he/she has attributed,abbiamo attribuito,we have attributed,avete attribuito,you all have attributed,hanno attribuito,they have attributed
incontrare,to meet,ho incontrato,I have met,hai incontrato,you have met,ha incontrato,he/she has met,abbiamo incontrato,we have met,avete incontrato,you all have met,hanno incontrato,they have met
attivare,to activate,ho attivato,I have activated,hai attivato,you have activated,ha attivato,he/she has activated,abbiamo attivato,we have activated,avete attivato,you all have activated,hanno attivato,they have activated
importare,to import,ho importato,I have imported,hai importato,you have imported,ha importato,he/she has imported,abbiamo importato,we have imported,avete importato,you all have imported,hanno importato,they have imported
valorizzare,to enhance,ho valorizzato,I have enhanced,hai valorizzato,you have enhanced,ha valorizzato,he/she has enhanced,abbiamo valorizzato,we have enhanced,avete valorizzato,you all have enhanced,hanno valorizzato,they have enhanced
cogliere,to gather,ho colto,I have grasped,hai colto,you have grasped,ha colto,he/she has grasped,abbiamo colto,we have grasped,avete colto,you all have grasped,hanno colto,they have grasped
attuare,to implement,ho attuato,I have implemented,hai attuato,you have implemented,ha attuato,he/she has implemented,abbiamo attuato,we have implemented,avete attuato,you all have implemented,hanno attuato,they have implemented
scaricare,to download,ho scaricato,I have downloaded,hai scaricato,you have downloaded,ha scaricato,he/she has downloaded,abbiamo scaricato,we have downloaded,avete scaricato,you all have downloaded,hanno scaricato,they have downloaded
