Word,Infinitive,English_Translation,Word_Type,Jaro_Score,Initial_Jaro,Rule_Chain,Max_Jaro_Score
preferisco,preferire,to prefer,verb,0.7555555555555555,0.8666666666666667,,0.8666666666666667
ispettore,ispettore,inspector,nm,0.8518518518518517,0.8518518518518517,,0.8518518518518517
teoria,teoria,theory,nf,0.7777777777777777,0.7777777777777777,suffix-ia-y + replace-t-th,1.0
parco,parco,park,nm,0.7833333333333333,0.7833333333333333,,0.7833333333333333
privato,privato,private,"adj, nm",0.9047619047619048,0.9047619047619048,suffix-ato-ate,1.0
accusa,accusa,accusation,nf,0.8666666666666667,0.8666666666666667,,0.8666666666666667
desiderio,desiderio,desire,nm,0.8333333333333334,0.8333333333333334,,0.8333333333333334
popolo,popolo,people,nm,0.7777777777777777,0.7777777777777777,,0.7777777777777777
nazionale,nazionale,national,"adj, nf",0.8842592592592592,0.8842592592592592,replace-z-t + suffix-ale-al,1.0
genio,genio,genius,m,0.8222222222222223,0.8222222222222223,,0.8222222222222223
politica,politico,politics,"nf, adj",0.9166666666666666,0.9166666666666666,suffix-ica-ics,1.0
copertura,copertura,coverage,nf,0.7268518518518517,0.7268518518518517,,0.7268518518518517
cancro,cancro,cancer,nm,0.888888888888889,0.888888888888889,,0.888888888888889
compagno,compagno,companion,"nm, adj",0.8842592592592592,0.8842592592592592,,0.8842592592592592
merito,meritare,merit,"nm, verb",0.9444444444444445,0.9444444444444445,suffix-o-,1.0
società,società,society,nf,0.9047619047619048,0.9047619047619048,suffix-tà-ty,1.0
perfettamente,perfettamente,perfectly,adv,0.7094017094017094,0.7094017094017094,,0.7094017094017094
gesu,Gesù,Jesus,nm,0.7833333333333333,0.7833333333333333,,0.7833333333333333
