italian_original,italian,function,english
dappertutto,dappertutto,avverbio,everywhere
classico,classico/a/i/e,aggettivo,classic
vivo,vivo/a/i/e,aggettivo,alive
qualche,qualche,aggettivo,some
attenzione,l'attenzione,sostantivo,attention
accendere,accendere,verbo transitivo,to turn on
frequentare,frequentare,verbo transitivo,to attend
pescare,pescare,verbo transitivo,to fish
etto,l'etto,sostantivo,hundred grams
io,io,pronome,I
insalata,l'insalata,sostantivo,salad
grazie,grazie,interiezione,thank you
ferire/si,ferire,verbo transitivo - verbo intransitivo pronominale,to wound
colpa,la colpa,sostantivo,blame
luogo,il luogo,sostantivo,place
alzarsi,alzarsi,verbo riflessivo,to get up
pesare,pesare,verbo transitivo,to weigh
giovedì,il giovedì,sostantivo,Thursday
carne,la carne,sostantivo,meat
check-in,il check-in,sostantivo,check-in
erba,l'erba,sostantivo,grass
fidanzato/a,il fidanzato / la fidanzata,sostantivo,fiancé / fiancée
dipinto,il dipinto,sostantivo,painting
arrivare,arrivare,verbo intransitivo,to arrive
aereo(aeroplano),l'aereo,sostantivo,airplane
spegnere,spegnere,verbo transitivo,to switch off
saldo,il saldo,sostantivo,balance
noi,noi,pronome,we
visitare,visitare,verbo transitivo,to visit
mai,mai,avverbio,never
fermo,fermo/a/i/e,aggettivo,still
scarpa,la scarpa,sostantivo,shoe
water,l'acqua,sostantivo,water
pensione,la pensione,sostantivo,pension
primo,il primo,aggettivo - sostantivo,first
gioia,la gioia,sostantivo,joy
piede,il piede,sostantivo,foot
penna,la penna,sostantivo,pen
poeta/essa,il poeta,sostantivo,poet
doccia,la doccia,sostantivo,shower
il,il,articolo,the
sapone,il sapone,sostantivo,soap
roulotte,la roulotte,sostantivo,caravan
amaro,amaro/a/i/e,aggettivo,bitter
asciugamano,l'asciugamano,sostantivo,towel
basta,basta,interiezione,enough
chiesa,la chiesa,sostantivo,church
né,né,congiunzione,nor
probabile,probabile/i,aggettivo,probable
trasmissione,la trasmissione,sostantivo,transmission
ne,ne,particella pronominale,of it
chi,chi,pronome,who
ragazzo/a,il ragazzo,sostantivo,boy
attentamente,attentamente,avverbio,carefully
storia,la storia,sostantivo,history
firma,la firma,sostantivo,signature
partita,la partita,sostantivo,match
bambino/a,il bambino,sostantivo,boy
posata,la posata,sostantivo,cutlery
servire,servire,verbo intransitivo,to serve
madre,la madre,sostantivo,mother
consiglio,il consiglio,sostantivo,advice
livello,il livello,sostantivo,level
congratulazione,la congratulazione,sostantivo,congratulation
uscita,l'uscita,sostantivo,exit
guidare,guidare,verbo transitivo,to drive
cosa,la cosa,sostantivo,thing
cantare,cantare,verbo transitivo,to sing
essere,essere,verbo intransitivo,to be
pronome,il pronome,sostantivo,pronoun
divertirsi,divertirsi,verbo riflessivo,to have fun
durare,durare,verbo intransitivo,to last
offrire,offrire,verbo transitivo,to offer
anche,anche,congiunzione,also
lavandino,il lavandino,sostantivo,sink
pompiere,il pompiere,sostantivo,firefighter
emergenza,l'emergenza,sostantivo,emergency
complimento,il complimento,sostantivo,compliment
tombola,la tombola,sostantivo,bingo
laurea,la laurea,sostantivo,degree
via,via,s.f.– avv.,street
farmacia,la farmacia,sostantivo,pharmacy
sorella,la sorella,sostantivo,sister
nebbia,la nebbia,sostantivo,fog
compagnia,la compagnia,sostantivo,company
riccio,riccio/a/i/e,aggettivo,curly
improbabile,improbabile/i,aggettivo,unlikely
fermata,la fermata,sostantivo,stop
peggiore,peggiore/i,aggettivo,worse
permesso,il permesso,sostantivo,permission
scaffale,lo scaffale,sostantivo,bookshelf
divorziare,divorziare,verbo intransitivo,to divorce
pomeriggio,il pomeriggio,sostantivo,afternoon
matrimonio,il matrimonio,sostantivo,marriage
capodanno,il capodanno,sostantivo,New Year's Day
inizio,l'inizio,sostantivo,beginning
cliccare,cliccare,verbo transitivo,to click
purtroppo,purtroppo,avverbio,unfortunately
medicina,la medicina,sostantivo,medicine
plurale,il plurale,aggettivo - sostantivo,plural
almeno,almeno,avverbio,at least
appunto,l'appunto,sostantivo,note
agenzia,l'agenzia,sostantivo,agency
stress,lo stress,sostantivo,stress
ritardo,il ritardo,sostantivo,delay
correre,correre,verbo intransitivo,to run
passare,passare,verbo transitivo,to pass
locale,il locale,sostantivo,venue
verdura,la verdura,sostantivo,vegetable
insomma,insomma,avverbio,all in all
rompere/si,rompere,verbo transitivo - verbo transitivo pronominale,to break
quarto,il quarto,sostantivo,quarter
giornata,la giornata,sostantivo,day
grado,il grado,sostantivo,degree
sete,la sete,sostantivo,thirst
indirizzo,l'indirizzo,sostantivo,address
muro,il muro,sostantivo,wall
arrosto,l'arrosto,sostantivo,roast
pittore/trice,il pittore,sostantivo,painter
pesante,pesante/i,aggettivo,heavy
comunicazione,la comunicazione,sostantivo,communication
volta,la volta,sostantivo,turn
oppure,oppure,congiunzione,or
però,però,congiunzione,however
prodotto,il prodotto,sostantivo,product
incredibile,incredibile/i,aggettivo,incredible
campeggio,il campeggio,sostantivo,campsite
chiudere,chiudere,verbo transitivo,to close
vetrina,la vetrina,sostantivo,shop window
tuo,tuo,agg. - pron.,your
fontana,la fontana,sostantivo,fountain
costruzione,la costruzione,sostantivo,building
cassettiera,la cassettiera,sostantivo,chest of drawers
odore,l'odore,sostantivo,smell
contemporaneo,contemporaneo/a/i/e,aggettivo,contemporary
bistecca,la bistecca,sostantivo,steak
bocciare,bocciare,verbo transitivo,to fail
comunque,comunque,congiunzione,anyway
vendere,vendere,verbo transitivo,to sell
ritirare,ritirare,verbo transitivo,withdraw
baffo,il baffo,sostantivo,mustache
amico/a,l'amico,sostantivo,friend
fetta,la fetta,sostantivo,slice
dottore/ssa,il dottore/la dottoressa,sostantivo,doctor
sciopero,lo sciopero,sostantivo,strike
mattina,la mattina,sostantivo,morning
vivere,vivere,verbo intransitivo,to live
si,si,pronome,himself/herself/themselves
indimenticabile,indimenticabile/i,aggettivo,unforgettable
normale,normale/i,aggettivo,normal
mentre,mentre,congiunzione,while
titolo,il titolo,sostantivo,title
balcone,il balcone,sostantivo,balcony
costoso,costoso/a/i/e,aggettivo,expensive
fiume,il fiume,sostantivo,river
lampada,la lampada,sostantivo,lamp
estate,l'estate,sostantivo,summer
Pasqua,la Pasqua,sostantivo,Easter
quaderno,il quaderno,sostantivo,notebook
pigro,pigro/a/i/e,aggettivo,lazy
consegnare,consegnare,verbo transitivo,to deliver
prossimo,prossimo/a/i/e,aggettivo,next
orribile,orribile/i,aggettivo,horrible
giocatore/trice,il giocatore,sostantivo,player
motorino,il motorino,sostantivo,moped
ditta,la ditta,sostantivo,company
simile,simile/i,aggettivo,similar
divano,il divano,sostantivo,sofa
forte,forte/i,aggettivo,strong
famoso,famoso/a/i/e,aggettivo,famous
lo,lo,art. - pron.,the
piuttosto,piuttosto,avverbio,rather
parere,il parere,sostantivo,opinion
venerdì,il venerdì,sostantivo,Friday
anno,l'anno,sostantivo,year
argento,l'argento,sostantivo,silver
ovale,ovale/i,aggettivo,oval
ballare,ballare,verbo intransitivo,to dance
futuro,il futuro,sostantivo,future
mio,mio,agg. - pron.,my
estero,l'estero,sostantivo,abroad
davanti,davanti,avverbio - preposizione,in front
ginnastica,la ginnastica,sostantivo,gymnastics
garage,il garage,sostantivo,garage
pioggia,la pioggia,sostantivo,rain
panino,il panino,sostantivo,sandwich
feria,la feria,sostantivo,festival
voglia,la voglia,sostantivo,desire
cerotto,il cerotto,sostantivo,adhesive bandage
tuono,il tuono,sostantivo,thunder
raramente,raramente,avverbio,rarely
cane,il cane,sostantivo,dog
azzurro,azzurro/a/i/e,aggettivo,light blue
cassa,la cassa,sostantivo,cash register
finale,finale/i,aggettivo,final
passione,la passione,sostantivo,passion
mezzanotte,la mezzanotte,sostantivo,midnight
buio,il buio,sostantivo,darkness
indietro,indietro,avverbio,backwards
vedere/si,vedere,v.t. – v.rifl. recip.,to see
onesto,onesto/a/i/e,aggettivo,honest
liceo,il liceo,sostantivo,high school
viaggiare,viaggiare,verbo intransitivo,to travel
nevicare,nevicare,verbo intransitivo,to snow
scuola,la scuola,sostantivo,school
compagno/a,il compagno,sostantivo,companion
frullatore,il frullatore,sostantivo,blender
fuori,fuori,avverbio - preposizione,outside
animale,l'animale,sostantivo,animal
libreria,la libreria,sostantivo,bookcase
spettabile,spettabile/i,aggettivo,esteemed
invece,invece,congiunzione,instead
consolato,il consolato,sostantivo,consulate
negativo,negativo/a/i/e,aggettivo,negative
trasloco,il trasloco,sostantivo,moving
terminare,terminare,verbo transitivo,finish
positivo,positivo/a/i/e,aggettivo,positive
economia,l'economia,sostantivo,economy
lingua,la lingua,sostantivo,language
spaventoso,spaventoso/a/i/e,aggettivo,frightening
bruciarsi,bruciarsi,verbo transitivo pronominale,to burn oneself
elicottero,l'elicottero,sostantivo,helicopter
posta,la posta,sostantivo,mail
nipote,il nipote,sostantivo,nephew
prima,prima,avverbio,earlier
baciare,baciare,verbo transitivo,to kiss
canale,il canale,sostantivo,channel
felicità,la felicità,sostantivo,happiness
lavoro,il lavoro,sostantivo,work
commedia,la commedia,sostantivo,comedy
idea,l'idea,sostantivo,idea
caricare,caricare,verbo transitivo,to load
più,più,avverbio,more
sogno,il sogno,sostantivo,dream
vincere,vincere,verbo transitivo - verbo intransitivo,to win
semaforo,il semaforo,sostantivo,traffic light
salire,salire,verbo transitivo - verbo intransitivo,to go up
avanti,avanti,avverbio,forward
genitore,il genitore,sostantivo,parent
ovest,l'ovest,sostantivo,west
dietro,dietro,avv.- prep.,behind
foglio,il foglio,sostantivo,sheet
ferro,il ferro,sostantivo,iron
visto,il visto,sostantivo,visa
poesia,la poesia,sostantivo,poetry
affettuoso,affettuoso/a/i/e,aggettivo,affectionate
solo,solo/a/i/e,aggettivo - avverbio,alone
ricordare/si,ricordare,v.t. - v.t. pron. -v.int.  pron.,to remember
colloquio,il colloquio,sostantivo,interview
strano,strano/a/i/e,aggettivo,strange
connettersi,connettersi,verbo riflessivo,to connect
direttore/trice,il direttore,sostantivo,director
pasta,la pasta,sostantivo,pasta
fra,fra,preposizione,between
bar,il bar,sostantivo,bar
quasi,quasi,avverbio,almost
quello,quello,agg. - pron.,that
massimo,massimo/a/i/e,aggettivo,maximum
phon,il phon,sostantivo,hairdryer
decidere,decidere,verbo transitivo,to decide
debole,debole/i,aggettivo,weak
elementare,elementare/i,aggettivo,elementary
pensare,pensare,verbo intransitivo,to think
sito,il sito,sostantivo,site
guasto,il guasto,aggettivo - sostantivo,breakdown
termometro,il termometro,sostantivo,thermometer
testa,la testa,sostantivo,head
dialogo,il dialogo,sostantivo,dialogue
salame,il salame,sostantivo,salami
dare,dare,verbo transitivo,to give
infermiere/a,l'infermiere,sostantivo,nurse (male)
mensola,la mensola,sostantivo,shelf
cercare,cercare,verbo transitivo,to search
annoiarsi,annoiarsi,verbo intransitivo pronominale,to get bored
posto,il posto,sostantivo,place
aiuto,l'aiuto,interiezione - sostantivo,help
duomo,il duomo,sostantivo,cathedral
meraviglioso,meraviglioso/a/i/e,aggettivo,wonderful
pizzeria,la pizzeria,sostantivo,pizzeria
gusto,il gusto,sostantivo,taste
piscina,la piscina,sostantivo,swimming pool
bello,bello/a/i/e,aggettivo,beautiful
aggiustare,aggiustare,verbo transitivo,to fix
patata,la patata,sostantivo,potato
proprio,proprio,avverbio,really
stanotte,stanotte,avverbio,tonight
vecchio,vecchio/a/i/e,aggettivo,old
stella,la stella,sostantivo,star
fino,fino,preposizione,until
cuscino,il cuscino,sostantivo,pillow
dispiacere,dispiacere,verbo intransitivo,to be sorry
quotidiano,il quotidiano,sostantivo,newspaper
invitare,invitare,verbo transitivo,to invite
anziano/a,l'anziano,aggettivo - sostantivo,elderly person
ammobiliato,ammobiliato/a/i/e,aggettivo,furnished
passeggiare,passeggiare,verbo intransitivo,to walk
stare,stare,verbo intransitivo,to stay
indifferente,indifferente/i,aggettivo,indifferent
questo,questo,agg. - pron.,this
dovere,dovere,verbo intransitivo,must
ieri,ieri,avverbio,yesterday
crudo,crudo/a/i/e,aggettivo,raw
ottobre,l'ottobre,sostantivo,October
nuora,la nuora,sostantivo,daughter-in-law
luna,la luna,sostantivo,moon
allergico,allergico/a/i/e,aggettivo,allergic
egregio,egregio/a/i/e,aggettivo,distinguished
taxi,il taxi,sostantivo,taxi
restare,restare,verbo intransitivo,remain
premere,premere,verbo transitivo,press
bollire,bollire,verbo intransitivo,to boil
domani,domani,avverbio,tomorrow
litro,il litro,sostantivo,liter
telegiornale,il telegiornale,sostantivo,newscast
egoista,egoista/e,aggettivo,selfish
spesa,la spesa,sostantivo,grocery shopping
spogliarsi,spogliarsi,verbo riflessivo,undress
interessante,interessante/i,aggettivo,interesting
conversazione,la conversazione,sostantivo,conversation
bisognare,bisognare,verbo intransitivo,to be necessary
ridere,ridere,verbo intransitivo,to laugh
indossare,indossare,verbo transitivo,to wear
giù,giù,avverbio,down
singolare,singolare/i,aggettivo,singular
tazza,la tazza,sostantivo,cup
stasera,stasera,avverbio,tonight
nessuno,nessuno,pronome - aggettivo,no one
bollente,bollente/i,aggettivo,boiling
freddo,il freddo,sostantivo - aggettivo,cold
vaso,il vaso,sostantivo,vase
te,te,pronome,you
piano,piano,avv. - s.m.,slowly
dente,il dente,sostantivo,tooth
ladro/a,il ladro / la ladra,sostantivo,thief
se,se,congiunzione,if
soprattutto,soprattutto,avverbio,especially
minimo,minimo/a/i/e,aggettivo,minimal
stivale,lo stivale,sostantivo,boot
riuscire,riuscire,verbo intransitivo,succeed
chilo,il chilo,sostantivo,kilogram
tirare,tirare,verbo transitivo,to pull
internet,l'internet,sostantivo,internet
pulire,pulire,verbo transitivo,to clean
salsa,la salsa,sostantivo,sauce
giardino,il giardino,sostantivo,garden
dialetto,il dialetto,sostantivo,dialect
antipasto,l'antipasto,sostantivo,appetizer
figlio/a,il figlio,sostantivo,son
passato,il passato,sostantivo,past
mi,mi,pronome,me
scuro,scuro/a/i/e,aggettivo,dark
incendio,l'incendio,sostantivo,fire
aprire,aprire,verbo transitivo,to open
sotto,sotto,prep. - avv.,under
preside,il preside,sostantivo,headmaster
disoccupato/a,il disoccupato,aggettivo - sostantivo,unemployed person
gita,la gita,sostantivo,trip
antipatico,antipatico/a/i/e,aggettivo,unpleasant
padella,la padella,sostantivo,frying pan
bagnare/si,bagnare/si,verbo transitivo - verbo riflessivo,to get wet
cognome,il cognome,sostantivo,surname
da,da,preposizione,from
pazienza,la pazienza,sostantivo,patience
papà,il papà,sostantivo,dad
crema,la crema,sostantivo,cream
là,là,avverbio,there
letto,il letto,sostantivo,bed
armadio,l'armadio,sostantivo,wardrobe
clima,il clima,sostantivo,climate
intorno,intorno,avverbio,around
verbo,il verbo,sostantivo,verb
farina,la farina,sostantivo,flour
tiepido,tiepido/a/i/e,aggettivo,lukewarm
terribile,terribile/i,aggettivo,terrible
liquido,liquido/a/i/e,aggettivo,liquid
pronuncia,la pronuncia,sostantivo,pronunciation
film,il film,sostantivo,movie
mamma,la mamma,sostantivo,mom
meglio,meglio,avv. – agg.,better
scrivere,scrivere,verbo transitivo,to write
particolarmente,particolarmente,avverbio,particularly
menù,il menù,sostantivo,menu
alimentari,gli alimentari,sostantivo plurale,groceries
prezzo,il prezzo,sostantivo,price
salutare,salutare,verbo transitivo,to greet
prendere,prendere,verbo transitivo,to take
bancomat,il bancomat,sostantivo,ATM
lontano,lontano/a/i/e,aggettivo - avverbio,far
preferire,preferire,verbo transitivo,to prefer
breve,breve/i,aggettivo,short
dentifricio,il dentifricio,sostantivo,toothpaste
Natale,il Natale,sostantivo,Christmas
fare,fare,verbo transitivo,to do
lezione,la lezione,sostantivo,lesson
abbracciare,abbracciare,verbo transitivo,to embrace
succedere,succedere,verbo intransitivo,happen
giovane,giovane/i,aggettivo,young
comodino,il comodino,sostantivo,nightstand
fattoria,la fattoria,sostantivo,farm
porto,il porto,sostantivo,port
agosto,agosto,sostantivo,August
profondo,profondo/a/i/e,aggettivo,deep
piegare/si,piegare/si,v.t. - v. rifl.,to fold/to bend
qua,qua,avverbio,here
bagaglio,il bagaglio,sostantivo,luggage
pacco,il pacco,sostantivo,package
trasparente,trasparente/i,aggettivo,transparent
fame,la fame,sostantivo,hunger
articolo,l'articolo,sostantivo,article
chiamare/si,chiamare,verbo transitivo - verbo intransitivo pronominale,to call
guanto,il guanto,sostantivo,glove
rubare,rubare,verbo transitivo,to steal
gioco,il gioco,sostantivo,game
tetto,il tetto,sostantivo,roof
vestito,il vestito,sostantivo,dress
risposta,la risposta,sostantivo,answer
comprare,comprare,verbo transitivo,to buy
tipo,il tipo,sostantivo,guy
spiaggia,la spiaggia,sostantivo,beach
suonare,suonare,verbo transitivo - verbo intransitivo,to play
birra,la birra,sostantivo,beer
accento,l'accento,sostantivo,accent
ora,l'ora,sostantivo - avverbio,hour
rock,la roccia,sostantivo,rock
collina,la collina,sostantivo,hill
passaporto,il passaporto,sostantivo,passport
situazione,la situazione,sostantivo,situation
appartamento,l'appartamento,sostantivo,apartment
sano,sano/a/i/e,aggettivo,healthy
spicchio,lo spicchio,sostantivo,slice
inviare,inviare,verbo transitivo,to send
camper,il camper,sostantivo,camper
incubo,l'incubo,sostantivo,nightmare
ammalarsi,ammalarsi,verbo intransitivo pronominale,to fall ill
veloce,veloce/i,aggettivo,fast
mandare,mandare,verbo transitivo,to send
tosse,la tosse,sostantivo,cough
medico,il medico,sostantivo,doctor
euro,l'euro,sostantivo,euro
mancare,mancare,verbo intransitivo,to miss
piovere,piovere,verbo intransitivo,to rain
mettere/si,mettere,v.t. – v.t.pron.,to put
attento,attento/a/i/e,aggettivo,attentive
musicale,musicale/i,aggettivo,musical
ambulatorio,l'ambulatorio,sostantivo,clinic
sport,lo sport,sostantivo,sport
organizzare,organizzare,verbo transitivo,to organize
ecco,ecco,locuzione,here is
troppo,troppo/a/i/e,aggettivo - avverbio,too much
nuvoloso,nuvoloso/a/i/e,aggettivo,cloudy
complemento,il complemento,sostantivo,complement
ponte,il ponte,sostantivo,bridge
ordinare,ordinare,verbo transitivo,to order
fumare,fumare,verbo transitivo,to smoke
contante,il contante,sostantivo,cash
borsa,la borsa,sostantivo,handbag
signore/a,il signore,sostantivo,gentleman
chilometro,il chilometro,sostantivo,kilometer
posacenere,il posacenere,sostantivo,ashtray
spiegare,spiegare,verbo transitivo,explain
significare,significare,verbo transitivo,to mean
maiale,il maiale,sostantivo,pig
peggio,peggio,avverbio - aggettivo,worse
assolutamente,assolutamente,avverbio,absolutely
festa,la festa,sostantivo,party
collezione,la collezione,sostantivo,collection
direzione,la direzione,sostantivo,direction
contento,contento/a/i/e,aggettivo,happy
navigare,navigare,verbo intransitivo,to navigate
preparare,preparare,verbo transitivo,to prepare
pipa,la pipa,sostantivo,pipe
matematica,la matematica,sostantivo,mathematics
gente,la gente,sostantivo,people
squadra,la squadra,sostantivo,team
odiare,odiare,verbo transitivo,hate
ripetere,ripetere,verbo transitivo,repeat
maggio,il maggio,sostantivo,May
sportivo,sportivo/a/i/e,aggettivo,sporty
sonno,il sonno,sostantivo,sleep
impaziente,impaziente/i,aggettivo,impatient
famiglia,la famiglia,sostantivo,family
probabilmente,probabilmente,avverbio,probably
estroverso,estroverso/a/i/e,aggettivo,extroverted
spazzolino,lo spazzolino,sostantivo,toothbrush
giallo,giallo/a/i/e,aggettivo,yellow
ogni,ogni,aggettivo,every
facoltà,la facoltà,sostantivo,faculty
lungo,lungo/a/hi/he,aggettivo,long
vi,vi,pronome,you
aria,l'aria,sostantivo,air
serata,la serata,sostantivo,evening
coraggio,coraggio,interiezione,courage
curioso,curioso/a/i/e,aggettivo,curious
continuare,continuare,verbo transitivo,continue
condizionare,condizionare,verbo transitivo,to condition
temporale,il temporale,sostantivo,thunderstorm
città,la città,sostantivo,city
isola,l'isola,sostantivo,island
soccorso,il soccorso,sostantivo,help
segreteria,la segreteria,sostantivo,secretary's office
proporre,proporre,verbo transitivo,propose
sognare,sognare,verbo transitivo,to dream
cantante,il cantante,sostantivo,singer
gonna,la gonna,sostantivo,skirt
bilancia,la bilancia,sostantivo,scale
condominio,il condominio,sostantivo,apartment building
telefonata,la telefonata,sostantivo,phone call
vagone,il vagone,sostantivo,railway carriage
diario,il diario,sostantivo,diary
perché,perché,avv. - cong.,why
lasciare,lasciare,verbo transitivo,to leave
donna,la donna,sostantivo,woman
umido,umido/a/i/e,aggettivo,humid
uguale,uguale/i,aggettivo,equal
luglio,il luglio,sostantivo,July
albergo,l'albergo,sostantivo,hotel
stop,lo stop,sostantivo,stop
poco,poco,po',little
nero,nero/a/i/e,aggettivo,black
calmarsi,calmarsi,verbo intransitivo pronominale,to calm down
prenotare,prenotare,verbo transitivo,to book
cimitero,il cimitero,sostantivo,cemetery
insieme,insieme,avverbio,together
marca,la marca,sostantivo,brand
talk-show,il talk-show,sostantivo,talk show
impegnare,impegnare,verbo transitivo,to commit
ulteriore,ulteriore/i,aggettivo,further
scala,la scala,sostantivo,staircase
tavolo,il tavolo,sostantivo,table
mercoledì,il mercoledì,sostantivo,Wednesday
soggetto,il soggetto,sostantivo,subject
lentamente,lentamente,avverbio,slowly
coltello,il coltello,sostantivo,knife
sabato,il sabato,sostantivo,Saturday
blu,blu,aggettivo,blue
tuttavia,tuttavia,congiunzione,however
computer,il computer,sostantivo,computer
scorso,scorso/a/i/e,aggettivo,last
fiction,la fiction,sostantivo,fiction
già,già,avverbio,already
medio,medio/a/i/e,aggettivo,average
raffreddore,il raffreddore,sostantivo,cold
calza,la calza,sostantivo,stocking
viaggio,il viaggio,sostantivo,trip
bambola,la bambola,sostantivo,doll
inverno,l'inverno,sostantivo,winter
tradurre,tradurre,verbo transitivo,translate
schifo,lo schifo,sostantivo,disgust
la,la,art. - pron.,the
morire,morire,verbo intransitivo,to die
mela,la mela,sostantivo,apple
geografia,la geografia,sostantivo,geography
vino,il vino,sostantivo,wine
lunedì,il lunedì,sostantivo,Monday
consigliare,consigliare,verbo transitivo,to advise
sedersi,sedersi,verbo intransitivo pronominale,to sit down
prato,il prato,sostantivo,meadow
stazione,la stazione,sostantivo,station
occhiale,l'occhiale,sostantivo,eyeglass
o,o,congiunzione,or
ferita,la ferita,sostantivo,wound
appena,appena,avverbio,just
costruire,costruire,verbo transitivo,to build
pittura,la pittura,sostantivo,painting
bosco,il bosco,sostantivo,forest
lavagna,la lavagna,sostantivo,blackboard
capace,capace/i,aggettivo,capable
orecchio,l'orecchio,sostantivo,ear
bacio,il bacio,sostantivo,kiss
Comune,il comune,sostantivo,municipality
pillola,la pillola,sostantivo,pill
pasto,il pasto,sostantivo,meal
scultura,la scultura,sostantivo,sculpture
industria,l'industria,sostantivo,industry
dentro,dentro,avverbio - preposizione,inside
riscaldamento,il riscaldamento,sostantivo,heating
ordine,l'ordine,sostantivo,order
aprile,l'aprile,sostantivo,April
quindi,quindi,avv. - cong.,therefore
rotondo,rotondo/a/i/e,aggettivo,round
pallacanestro,la pallacanestro,sostantivo,basketball
me,me,pronome,me
pizzico,il pizzico,sostantivo,pinch
sbucciare,sbucciare,verbo transitivo,to peel
sentire/si,sentire,v.t. – v.rifl. recip.,to hear
busta,la busta,sostantivo,envelope
biglietto,il biglietto,sostantivo,ticket
giocare,giocare,verbo intransitivo,to play
maglietta,la maglietta,sostantivo,t-shirt
auto(mobile),l'automobile,sostantivo,car
aperitivo,l'aperitivo,sostantivo,aperitif
orologio,l'orologio,sostantivo,watch
palestra,la palestra,sostantivo,gym
stanza,la stanza,sostantivo,room
bianco,bianco/a/i/e,aggettivo,white
vento,il vento,sostantivo,wind
verde,verde/i,aggettivo,green
aula,l'aula,sostantivo,classroom
sapere,sapere,verbo transitivo,to know
fuoco,il fuoco,sostantivo,fire
guida,la guida,sostantivo,guide
sms,l'sms,sostantivo,text message
toccare,toccare,verbo transitivo,to touch
partecipare,partecipare,verbo intransitivo,participate
banconota,la banconota,sostantivo,banknote
occhio,l'occhio,sostantivo,eye
comunicare,comunicare,verbo transitivo,communicate
incidente,l'incidente,sostantivo,accident
silenzio,il silenzio,sostantivo,silence
infine,infine,avverbio,finally
sicuro,sicuro/a/i/e,aggettivo,sure
soldo,il soldo,sostantivo,penny
vestirsi,vestirsi,verbo riflessivo,to get dressed
riassumere,riassumere,verbo transitivo,summarize
orario,l'orario,sostantivo,schedule
rosa,rosa,aggettivo,pink
rettangolare,rettangolare/i,aggettivo,rectangular
pantalone,il pantalone,sostantivo,trousers
pezzo,il pezzo,sostantivo,piece
simpatico,simpatico/a/i/e,aggettivo,nice
cucchiaio,il cucchiaio,sostantivo,spoon
bicchiere,il bicchiere,sostantivo,glass
concerto,il concerto,sostantivo,concert
scoprire,scoprire,verbo transitivo,discover
cotone,il cotone,sostantivo,cotton
diplomarsi,diplomarsi,verbo intransitivo pronominale,to graduate
finire,finire,verbo transitivo - verbo intransitivo,finish
compito,il compito,sostantivo,homework
canzone,la canzone,sostantivo,song
fabbrica,la fabbrica,sostantivo,factory
completo,completo/a/i/e,aggettivo,complete
specialmente,specialmente,avverbio,especially
leone,il leone,sostantivo,lion
lei,lei,pronome,she
differente,differente/i,aggettivo,different
poi,poi,avverbio,then
triste,triste/i,aggettivo,sad
unico,unico/a/i/e,aggettivo,unique
tu,tu,pronome,you
polizia,la polizia,sostantivo,police
biglietteria,la biglietteria,sostantivo,ticket office
corrente,corrente/i,aggettivo,current
inutile,inutile/i,aggettivo,useless
eccezionale,eccezionale/i,aggettivo,exceptional
ufficio,l'ufficio,sostantivo,office
impegno,l'impegno,sostantivo,commitment
metro(politana),la metropolitana,sostantivo,subway
biondo,biondo/a/i/e,aggettivo,blond
prefisso,il prefisso,sostantivo,prefix
turista,il turista,sostantivo,tourist
salute,salute,s.f. - inter.,health
nuoto,il nuoto,sostantivo,swimming
fax,il fax,sostantivo,fax
cappello,il cappello,sostantivo,hat
nuvola,la nuvola,sostantivo,cloud
buonasera,buonasera,interiezione,good evening
luce,la luce,sostantivo,light
pagina,la pagina,sostantivo,page
tovaglia,la tovaglia,sostantivo,tablecloth
costo,il costo,sostantivo,cost
iniziare,iniziare,verbo transitivo - verbo intransitivo,to begin
allegro,allegro/a/i/e,aggettivo,cheerful
moglie,la moglie,sostantivo,wife
vasca,la vasca,sostantivo,bathtub
telefilm,il telefilm,sostantivo,television series
naturale,naturale/i,aggettivo,natural
sorpresa,la sorpresa,sostantivo,surprise
modulo,il modulo,sostantivo,form
ristorante,il ristorante,sostantivo,restaurant
non,non,avverbio,not
ritrovare,ritrovare,verbo transitivo,find
impossibile,impossibile/i,aggettivo,impossible
bilocale,il bilocale,sostantivo,two-room apartment
pagare,pagare,verbo transitivo,to pay
albero,l'albero,sostantivo,tree
nuovo,nuovo/a/i/e,aggettivo,new
arancia,l'arancia,sostantivo,orange
mezzo,mezzo/a/i/e,aggettivo,half
bene,bene,avverbio,well
libero,libero/a/i/e,aggettivo,free
studente/ssa,lo studente/la studentessa,sostantivo,student
ragione,la ragione,sostantivo,reason
pieno,il pieno,aggettivo - sostantivo,full
esempio,l'esempio,sostantivo,example
primavera,la primavera,sostantivo,spring
maschile,maschile/i,aggettivo,masculine
cioccolato,il cioccolato,sostantivo,chocolate
crepare,crepare,verbo intransitivo,to croak
nord,il nord,sostantivo,north
piatto,il piatto,sostantivo,plate
temperatura,la temperatura,sostantivo,temperature
che,che,pronome - congiunzione,that
insegnare,insegnare,verbo transitivo,to teach
giornale,il giornale,sostantivo,newspaper
finestra,la finestra,sostantivo,window
collegio,il collegio,sostantivo,boarding school
dolce,il dolce,aggettivo - sostantivo,dessert
guardare,guardare,verbo transitivo,to watch
dito,il dito,sostantivo,finger
aceto,l'aceto,sostantivo,vinegar
attore/trice,l'attore,sostantivo,actor
scienza,la scienza,sostantivo,science
metropoli,la metropoli,sostantivo,metropolis
duro,duro/a/i/e,aggettivo,hard
