italian,function
sicuramente,avverbio
sicuro,aggettivo
sigaretta,sostantivo
sigaro,sostantivo
significare,verbo transitivo
signore/a,sostantivo
silenzio,sostantivo
simile,aggettivo
simpatico,aggettivo
singolare,aggettivo
singolo,aggettivo
sinistra,sostantivo
sito,sostantivo
situazione,sostantivo
smettere,verbo transitivo
sms,sostantivo
soccorso,sostantivo
socievole,aggettivo
soffitto,sostantivo
soggetto,sostantivo
soggiorno,sostantivo
sognare,verbo transitivo
sogno,sostantivo
soldo,sostantivo
sole,sostantivo
solido,aggettivo
solito,aggettivo
solo,aggettivo - avverbio
soltanto,avverbio
sonno,sostantivo
sopra,prep. - avv.
soprattutto,avverbio
sorella,sostantivo
sorpresa,sostantivo
sorridere,verbo intransitivo
sottile,aggettivo
sotto,prep. - avv.
spaghetto,sostantivo
spaventare,verbo transitivo
spaventoso,aggettivo
spazzolino,sostantivo
specchio,sostantivo
speciale,aggettivo
specialmente,avverbio
spedire,verbo transitivo
spegnere,verbo transitivo
spendere,verbo transitivo
sperare,verbo intransitivo
spesa,sostantivo
spesso,avverbio - aggettivo
spettabile,aggettivo
spettacolo,sostantivo
spiaggia,sostantivo
spicchio,sostantivo
spiegare,verbo transitivo
spingere,verbo transitivo
spogliarsi,verbo riflessivo
sporcare,verbo transitivo
sporco,aggettivo
sport,sostantivo
sportivo,aggettivo
sposare/si,v.t. – v.rifl.recip.
spostare,verbo transitivo
spuntino,sostantivo
squadra,sostantivo
stadio,sostantivo
stage,sostantivo
stamattina,avverbio
stampare,verbo transitivo
stanco,aggettivo
stanotte,avverbio
stanza,sostantivo
stare,verbo intransitivo
stasera,avverbio
stazione,sostantivo
stella,sostantivo
stendere/si,verbo transitivo - verbo riflessivo
stesso,aggettivo
stirare,verbo transitivo
stiro,sostantivo
stivale,sostantivo
stomaco,sostantivo
stop,sostantivo
storia,sostantivo
strada,sostantivo
straniero,aggettivo
strano,aggettivo
stress,sostantivo
stressare,verbo transitivo
stretto,aggettivo
studente/ssa,sostantivo
studiare,verbo transitivo
studio,sostantivo
su,prep. - avv.
subito,avverbio
succedere,verbo intransitivo
successo,sostantivo
sud,sostantivo
suo,agg. - pron.
suocero/a,sostantivo
suonare,verbo transitivo - verbo intransitivo
superare,verbo transitivo
supermercato,sostantivo
svegliarsi,verbo intransitivo pronominale
svolgere,verbo transitivo
tabaccaio,sostantivo
tagliare,verbo transitivo
talk-show,sostantivo
tanto,pronome - aggettivo
tappeto,sostantivo
tardi,avverbio
tasca,sostantivo
tavolo,sostantivo
taxi,sostantivo
tazza,sostantivo
te,pronome
tè,sostantivo
teatro,sostantivo
tecnico,sostantivo
telefilm,sostantivo
telefonare,verbo intransitivo
telefonata,sostantivo
telefono,sostantivo
telegiornale,sostantivo
televisione,sostantivo
temperatura,sostantivo
tempo,sostantivo
temporale,sostantivo
tenda,sostantivo
tenere,verbo transitivo
tenero,aggettivo
tennis,sostantivo
terminare,verbo transitivo
termometro,sostantivo
termosifone,sostantivo
terra,sostantivo
terrazza,sostantivo
terribile,aggettivo
testa,sostantivo
tetto,sostantivo
ti,pronome
tiepido,aggettivo
tigre,sostantivo
timido,aggettivo
tipo,sostantivo
tirare,verbo transitivo
titolo,sostantivo
toccare,verbo transitivo
togliere,verbo transitivo
tombola,sostantivo
tornare,verbo intransitivo
torre,sostantivo
torta,sostantivo
tortellino,sostantivo
tosse,sostantivo
tostapane,sostantivo
totale,sostantivo
tovaglia,sostantivo
tovagliolo,sostantivo
tra,preposizione
tradurre,verbo transitivo
traffico,sostantivo
tragedia,sostantivo
tramonto,sostantivo
tranquillo,aggettivo
trascorrere,verbo transitivo
trasferirsi,verbo intransitivo pronominale
traslocare,verbo intransitivo
trasloco,sostantivo
trasmissione,sostantivo
trasparente,aggettivo
trasportare,verbo transitivo
treno,sostantivo
triste,aggettivo
troppo,aggettivo - avverbio
trovare/si,v.t.  - v.int. pron.
tu,pronome
tuo,agg. - pron.
tuono,sostantivo
turista,sostantivo
tuttavia,congiunzione
tutto,aggettivo
tv,sostantivo
ubriacarsi,verbo intransitivo pronominale
ubriaco,aggettivo
uccello,sostantivo
ufficio,sostantivo
uguale,aggettivo
ulteriore,aggettivo
ultimo,aggettivo
umido,aggettivo
umore,sostantivo
un/o/a,articolo
unico,aggettivo
università,sostantivo
uomo,sostantivo
uovo,sostantivo
usare,verbo transitivo
uscire,verbo intransitivo
uscita,sostantivo
utile,aggettivo
utilizzare,verbo transitivo
vacanza,sostantivo
vaglia,sostantivo
vagone,sostantivo
valigia,sostantivo
variabile,aggettivo
vasca,sostantivo
vaso,sostantivo
vecchio,aggettivo
vedere/si,v.t. – v.rifl. recip.
vedovo,aggettivo
veloce,aggettivo
velocemente,avverbio
vendere,verbo transitivo
venerdì,sostantivo
venire,verbo intransitivo
vento,sostantivo
veramente,avverbio
verbo,sostantivo
verde,aggettivo
verdura,sostantivo
vero,aggettivo
versare,verbo transitivo
verso,preposizione
vestirsi,verbo riflessivo
vestito,sostantivo
vetrina,sostantivo
vetro,sostantivo
vi,pronome
via,s.f.– avv.
viaggiare,verbo intransitivo
viaggio,sostantivo
vicino,avverbio
vietare,verbo transitivo
vigile/ssa,sostantivo
villa,sostantivo
villaggio,sostantivo
vincere,verbo transitivo - verbo intransitivo
vino,sostantivo
viola,aggettivo
virgola,sostantivo
visitare,verbo transitivo
visto,sostantivo
vita,sostantivo
vivere,verbo intransitivo
vivo,aggettivo
voce,sostantivo
voglia,sostantivo
voi,pronome
volare,verbo intransitivo
volentieri,avverbio
volere,verbo intransitivo
volta,sostantivo
vostro,agg. - pron.
vuoto,aggettivo
water,sostantivo
zaino,sostantivo
zio/a,sostantivo
zucchero,sostantivo
