italian_original,italian,function,english
evidenza,l'evidenza,sostantivo,evidence
tirare,tirare,verbo transitivo,to pull
articolo,l'articolo,sostantivo,article
litro,il litro,sostantivo,liter
ferire/si,ferire/si,v.t. – v. int. pron.,to wound/to get hurt
oggigiorno,oggigiorno,avverbio,nowadays
addormentarsi,addormentarsi,verbo intransitivo pronominale,to fall asleep
genero,il genero,sostantivo,son-in-law
scaricare,scaricare,verbo transitivo,to download
finto,finto/a/i/e,aggettivo,fake
venerdì,il venerdì,sostantivo,Friday
suora,la suora,sostantivo,nun
cognato/a,il cognato,sostantivo,brother-in-law
piano,piano,avv. - s.m.,slowly
somma,la somma,sostantivo,sum
matematica,la matematica,sostantivo,mathematics
fornitore,il fornitore,sostantivo,supplier
pratico,pratico/a/i/e,aggettivo,practical
soggetto,il soggetto,sostantivo,subject
dietro,dietro,avv.- prep.,behind
angolo,l'angolo,sostantivo,corner
analisi,l'analisi,sostantivo,analysis
terrorizzare,terrorizzare,verbo transitivo,to terrify
discoteca,la discoteca,sostantivo,nightclub
qualità,la qualità,sostantivo,quality
fiction,la fiction,sostantivo,fiction
mettercela,mettercela,verbo transitivo pronominale,to put one's all into it
compleanno,il compleanno,sostantivo,birthday
però,però,congiunzione,however
stipendio,lo stipendio,sostantivo,salary
forse,forse,avverbio,perhaps
discorso,il discorso,sostantivo,speech
sport,lo sport,sostantivo,sport
fattoria,la fattoria,sostantivo,farm
abitazione,l'abitazione,sostantivo,dwelling
consiglio,il consiglio,sostantivo,advice
veramente,veramente,avverbio,really
seguente,seguente,aggettivo,following
cattivo,cattivo/a/i/e,aggettivo,bad
valere,valere,verbo transitivo - verbo intransitivo,to be worth
colore,il colore,sostantivo,color
ragione,la ragione,sostantivo,reason
collana,la collana,sostantivo,necklace
giardino,il giardino,sostantivo,garden
albergo,l'albergo,sostantivo,hotel
pure,pure,avv. - cong.,even
breve,breve/i,aggettivo,short
rock,la roccia,sostantivo,rock
telefono,il telefono,sostantivo,telephone
dottorato,il dottorato,sostantivo,doctorate
bagnare/si,bagnare,verbo transitivo - verbo riflessivo,to wet
conclusione,la conclusione,sostantivo,conclusion
euro,l'euro,sostantivo,euro
verbo,il verbo,sostantivo,verb
vento,il vento,sostantivo,wind
adottare,adottare,verbo transitivo,adopt
questione,la questione,sostantivo,issue
avvertire,avvertire,verbo transitivo,warn
museo,il museo,sostantivo,museum
inquilino/a,l'inquilino,sostantivo,tenant
sperare,sperare,verbo intransitivo,to hope
orizzontale,orizzontale/i,aggettivo,horizontal
personaggio,il personaggio,sostantivo,character
ascensore,l'ascensore,sostantivo,elevator
pavimento,il pavimento,sostantivo,floor
estate,l'estate,sostantivo,summer
salvare,salvare,verbo transitivo,save
strano,strano/a/i/e,aggettivo,strange
diminuire,diminuire,verbo intransitivo,decrease
credito,il credito,sostantivo,credit
adatto,adatto/a/i/e,aggettivo,suitable
ferita,la ferita,sostantivo,wound
qualcuno,qualcuno,pronome,someone
almeno,almeno,avverbio,at least
capello,il capello,sostantivo,hair
nonostante,nonostante,prep. - cong.,despite
parentesi,la parentesi,sostantivo,parenthesis
pittura,la pittura,sostantivo,painting
controllare,controllare,verbo transitivo,to check
impaziente,impaziente/i,aggettivo,impatient
salato,salato/a/i/e,aggettivo,salty
complicare,complicare,verbo transitivo,complicate
curriculum vitae,curriculum vitae,loc.sost.m.,resume
ritirare,ritirare,verbo transitivo,withdraw
agosto,l'agosto,sostantivo,August
detestare,detestare,verbo transitivo,to detest
bere,bere,verbo transitivo,to drink
italiano,l'italiano,sostantivo,Italian
forno,il forno,sostantivo,oven
scontrino,lo scontrino,sostantivo,receipt
dentifricio,il dentifricio,sostantivo,toothpaste
che,che,pronome - congiunzione,that
esempio,l'esempio,sostantivo,example
mese,il mese,sostantivo,month
gesto,il gesto,sostantivo,gesture
escludere,escludere,verbo transitivo,exclude
gli,gli,art. - pron.,the
notizia,la notizia,sostantivo,news
ruota,la ruota,sostantivo,wheel
mittente,il mittente,sostantivo,sender
difendere,difendere,verbo transitivo,to defend
buttare,buttare,verbo transitivo,to throw
salire,salire,verbo transitivo - verbo intransitivo,to go up
fumare,fumare,verbo transitivo,smoke
lordo,lordo/a/i/e,aggettivo,gross
condoglianza,la condoglianza,sostantivo,condolence
buonanotte,buonanotte,interiezione,goodnight
aereo(aeroplano),l'aereo,sostantivo,airplane
confronto,il confronto,sostantivo,comparison
proporre,proporre,verbo transitivo,to propose
cioè,cioè,congiunzione,that is
coda,la coda,sostantivo,tail
cipolla,la cipolla,sostantivo,onion
autobus,l'autobus,sostantivo,bus
collaboratore/trice,il collaboratore / la collaboratrice,sostantivo,collaborator
parcheggio,il parcheggio,sostantivo,parking lot
eccetera,eccetera,locuzione,etcetera
amico/a,l'amico/a,sostantivo,friend
giù,giù,avverbio,down
resto,il resto,sostantivo,change
ottimo,ottimo/a/i/e,aggettivo,excellent
contorno,il contorno,sostantivo,side dish
colpa,la colpa,sostantivo,fault
sia,sia,congiunzione,either
tornare,tornare,verbo intransitivo,return
patto,il patto,sostantivo,pact
maestro/a,il maestro,sostantivo,teacher
altrimenti,altrimenti,avverbio,otherwise
variabile,variabile/i,aggettivo,variable
mancia,la mancia,sostantivo,tip
parco,il parco,sostantivo,park
prendere,prendere,verbo transitivo,to take
accompagnare,accompagnare,verbo transitivo,accompany
sotto,sotto,prep. - avv.,under
baffo,il baffo,sostantivo,mustache
copia,la copia,sostantivo,copy
specialmente,specialmente,avverbio,especially
doppio,doppio/a/i/e,aggettivo,double
sordo,sordo/a/i/e,aggettivo,deaf
idraulico,l'idraulico,sostantivo,plumber
no,no,avverbio,no
uovo,l'uovo,sostantivo,egg
abbastanza,abbastanza,avverbio,enough
cibo,il cibo,sostantivo,food
timido,timido/a/i/e,aggettivo,shy
rata,la rata,sostantivo,installment
nuvola,la nuvola,sostantivo,cloud
sapone,il sapone,sostantivo,soap
dimostrare,dimostrare,verbo transitivo,demonstrate
collina,la collina,sostantivo,hill
stanotte,stanotte,avverbio,tonight
ammirare,ammirare,verbo transitivo,to admire
interesse,l'interesse,sostantivo,interest
salve,salve,interiezione,hello
cameriere/a,il cameriere,sostantivo,waiter
entrata,l'entrata,sostantivo,entrance
regista,il regista,sostantivo,director
papà,il papà,sostantivo,dad
uffa,uffa,interiezione,ugh
piatto,il piatto,sostantivo,plate
polizia,la polizia,sostantivo,police
tariffa,la tariffa,sostantivo,fare
comodo,comodo/a/i/e,aggettivo,comfortable
spesa,la spesa,sostantivo,grocery shopping
pane,il pane,sostantivo,bread
se,se,congiunzione,if
raffreddore,il raffreddore,sostantivo,cold
posacenere,il posacenere,sostantivo,ashtray
assegno,l'assegno,sostantivo,check
portare,portare,verbo transitivo,to carry
divertimento,il divertimento,sostantivo,entertainment
perdonare,perdonare,verbo transitivo,to forgive
probabilità,la probabilità,sostantivo,probability
personalità,la personalità,sostantivo,personality
aceto,l'aceto,sostantivo,vinegar
vario,vario/a/i/e,aggettivo,various
cordiale,cordiale/i,aggettivo,cordial
mare,il mare,sostantivo,sea
dispensa,la dispensa,sostantivo,pantry
cercare,cercare,verbo transitivo,to search
ammazzare,ammazzare,verbo transitivo,to kill
descrivere,descrivere,verbo transitivo,describe
allergico,allergico/a/i/e,aggettivo,allergic
lavastoviglie,la lavastoviglie,sostantivo,dishwasher
assicurazione,l'assicurazione,sostantivo,insurance
pulire,pulire,verbo transitivo,to clean
svolgere,svolgere,verbo transitivo,to carry out
certo,certo/a/i/e,aggettivo - avverbio,certain
raccomandata,la raccomandata,sostantivo,registered letter
opinione,l'opinione,sostantivo,opinion
litigare,litigare,verbo intransitivo,to argue
maiuscola,la maiuscola,sostantivo,uppercase letter
accendino,l'accendino,sostantivo,lighter
invisibile,invisibile/i,aggettivo,invisible
pesce,il pesce,sostantivo,fish
menù,il menù,sostantivo,menu
subito,subito,avverbio,immediately
tasca,la tasca,sostantivo,pocket
conoscenza,la conoscenza,sostantivo,knowledge
assolutamente,assolutamente,avverbio,absolutely
ricevere,ricevere,verbo transitivo,to receive
temere,temere,verbo transitivo,to fear
forte,forte/i,aggettivo,strong
elegante,elegante/i,aggettivo,elegant
sano,sano/a/i/e,aggettivo,healthy
identità,l'identità,sostantivo,identity
negozio,il negozio,sostantivo,shop
piovere,piovere,verbo intransitivo,to rain
saltare,saltare,verbo transitivo - verbo intransitivo,to jump
luglio,il luglio,sostantivo,July
classe,la classe,sostantivo,class
deprimere,deprimere,verbo transitivo,depress
lui,lui,pronome,he
iscrizione,l'iscrizione,sostantivo,registration
importanza,l'importanza,sostantivo,importance
così,così,avverbio,so
riparare,riparare,verbo transitivo,repair
impresa,l'impresa,sostantivo,enterprise
atteggiamento,l'atteggiamento,sostantivo,attitude
risposta,la risposta,sostantivo,answer
film,il film,sostantivo,film
nemmeno,nemmeno,avv. - cong.,neither
colazione,la colazione,sostantivo,breakfast
affermare,affermare,verbo transitivo,to assert
rispetto,il rispetto,sostantivo,respect
paio,il paio,sostantivo,pair
anno,l'anno,sostantivo,year
matrimonio,il matrimonio,sostantivo,marriage
brano,il brano,sostantivo,passage
chiave,la chiave,sostantivo,key
albero,l'albero,sostantivo,tree
riguardare,riguardare,verbo transitivo,to concern
bollire,bollire,verbo intransitivo,to boil
tanto,tanto/a/i/e,pronome - aggettivo,much
prezzo,il prezzo,sostantivo,price
abitare,abitare,verbo intransitivo,to live
suonare,suonare,verbo transitivo,to play
cenare,cenare,verbo intransitivo,to dine
improbabile,improbabile/i,aggettivo,unlikely
inverno,l'inverno,sostantivo,winter
marciapiede,il marciapiede,sostantivo,sidewalk
novembre,il novembre,sostantivo,November
felicità,la felicità,sostantivo,happiness
giornalista,il giornalista,sostantivo,journalist
ovale,ovale/i,aggettivo,oval
stella,la stella,sostantivo,star
madre,la madre,sostantivo,mother
pentola,la pentola,sostantivo,pot
sorella,la sorella,sostantivo,sister
maggio,il maggio,sostantivo,May
biondo,biondo/a/i/e,aggettivo,blond
allora,allora,avverbio,then
oppure,oppure,congiunzione,or
riscaldamento,il riscaldamento,sostantivo,heating
arrivo,l'arrivo,sostantivo,arrival
molto,molto/a/i/e,aggettivo,much/many
profumo,il profumo,sostantivo,perfume
differente,differente/i,aggettivo,different
quadrato,quadrato/a/i/e,aggettivo,square
bellezza,la bellezza,sostantivo,beauty
dizionario,il dizionario,sostantivo,dictionary
stop,lo stop,sostantivo,stop sign
insegnante,l'insegnante,sostantivo,teacher
proprio,proprio/a/i/e,aggettivo - avverbio,own
vaso,il vaso,sostantivo,vase
momento,il momento,sostantivo,moment
purché,purché,congiunzione,provided that
difficile,difficile/i,aggettivo,difficult
freno,il freno,sostantivo,brake
guardare,guardare,verbo transitivo,to watch
o,o,congiunzione,or
permesso,il permesso,sostantivo,permission
rimettersi,rimettersi,verbo intransitivo pronominale,to recover
lo,lo,art. - pron.,the
figo,figo/a/i/e,aggettivo,cool
attraverso,attraverso,preposizione,through
secondo,secondo,s.m. - prep.  - agg.,second
volontà,la volontà,sostantivo,will
facoltà,la facoltà,sostantivo,faculty
sottrarre,sottrarre,verbo transitivo,subtract
cappuccino,il cappuccino,sostantivo,cappuccino
cliente,il cliente,sostantivo,customer
maternità,la maternità,sostantivo,maternity
ginnastica,la ginnastica,sostantivo,gymnastics
discussione,la discussione,sostantivo,discussion
esame,l'esame,sostantivo,exam
benché,benché,congiunzione,although
chiunque,chiunque,pronome,anyone
furto,il furto,sostantivo,theft
documentario,il documentario,sostantivo,documentary
intendere,intendere,verbo transitivo,to understand
in,in,preposizione,in
partenza,la partenza,sostantivo,departure
manager,il manager,sostantivo,manager
riflettere,riflettere,verbo intransitivo,to reflect
ritornare,ritornare,verbo intransitivo,return
carta,la carta,sostantivo,paper
vestito,il vestito,sostantivo,dress
corrente,la corrente,aggettivo - sostantivo,current
lettera,la lettera,sostantivo,letter
durare,durare,verbo intransitivo,to last
sole,il sole,sostantivo,sun
situazione,la situazione,sostantivo,situation
invitare,invitare,verbo transitivo,to invite
sindacato,il sindacato,sostantivo,trade union
pensare,pensare,verbo intransitivo,to think
radio,la radio,sostantivo,radio
armonia,l'armonia,sostantivo,harmony
cassa,la cassa,sostantivo,cashier
capitare,capitare,verbo intransitivo,to happen
merce,la merce,sostantivo,merchandise
servizio,il servizio,sostantivo,service
tensione,la tensione,sostantivo,tension
mi,mi,pronome,me
epoca,l'epoca,sostantivo,era
pessimo,pessimo/a/i/e,aggettivo,very bad
matto,matto/a/i/e,aggettivo,crazy
sindaco,il sindaco,sostantivo,mayor
allarme,l'allarme,sostantivo,alarm
lago,il lago,sostantivo,lake
cimitero,il cimitero,sostantivo,cemetery
studente/ssa,lo studente/la studentessa,sostantivo,student
romanzo,il romanzo,sostantivo,novel
sedia,la sedia,sostantivo,chair
pagina,la pagina,sostantivo,page
piangere,piangere,verbo intransitivo,to cry
sesso,il sesso,sostantivo,sex
inoltre,inoltre,avverbio,furthermore
febbraio,il febbraio,sostantivo,February
discesa,la discesa,sostantivo,descent
cantina,la cantina,sostantivo,cellar
metro(politana),la metropolitana,sostantivo,subway
ricchezza,la ricchezza,sostantivo,wealth
riferire/si,riferire,verbo transitivo - verbo intransitivo pronominale,to report
trasferirsi,trasferirsi,verbo intransitivo pronominale,to move
età,l'età,sostantivo,age
migliorare,migliorare,verbo transitivo - verbo intransitivo,to improve
cominciare,cominciare,verbo transitivo - verbo intransitivo,to begin
messaggio,il messaggio,sostantivo,message
pubblicità,la pubblicità,sostantivo,advertisement
preposizione,la preposizione,sostantivo,preposition
adolescente,l'adolescente,sostantivo,teenager
mancare,mancare,verbo intransitivo,to lack
storia,la storia,sostantivo,history
ansioso,ansioso/a/i/e,aggettivo,anxious
aula,l'aula,sostantivo,classroom
alloggio,l'alloggio,sostantivo,accommodation
leggere,leggere,verbo transitivo,to read
passaporto,il passaporto,sostantivo,passport
dolore,il dolore,sostantivo,pain
lentamente,lentamente,avverbio,slowly
classico,classico/a/i/e,aggettivo,classic
vostro,vostro,agg. - pron.,your
sfruttare,sfruttare,verbo transitivo,exploit
agenzia,l'agenzia,sostantivo,agency
fermo,fermo/a/i/e,aggettivo,still
qualcosa,qualcosa,pronome,something
nervoso,nervoso/a/i/e,aggettivo,nervous
chiesa,la chiesa,sostantivo,church
chiacchierare,chiacchierare,verbo intransitivo,to chat
femmina,la femmina,sostantivo,female
maniera,la maniera,sostantivo,manner
condizione,la condizione,sostantivo,condition
ansia,l'ansia,sostantivo,anxiety
debito,il debito,sostantivo,debt
pietà,la pietà,sostantivo,pity
tavolo,il tavolo,sostantivo,table
porgere,porgere,verbo transitivo,to offer
cartone,il cartone,sostantivo,cardboard
contemporaneamente,contemporaneamente,avverbio,simultaneously
fermare/si,fermare,verbo transitivo - verbo intransitivo pronominale,to stop
osservare,osservare,verbo transitivo,observe
antipatico,antipatico/a/i/e,aggettivo,unpleasant
vergognarsi,vergognarsi,verbo intransitivo pronominale,to be ashamed
mentre,mentre,congiunzione,while
condizionare,condizionare,verbo transitivo,to condition
spegnere,spegnere,verbo transitivo,to turn off
vietare,vietare,verbo transitivo,to forbid
titolo,il titolo,sostantivo,title
dente,il dente,sostantivo,tooth
semaforo,il semaforo,sostantivo,traffic light
eccetto,eccetto,preposizione,except
sogno,il sogno,sostantivo,dream
facile,facile/i,aggettivo,easy
scorretto,scorretto/a/i/e,aggettivo,incorrect
lassù,lassù,avverbio,up there
scrittore/trice,lo scrittore,sostantivo,writer
mente,la mente,sostantivo,mind
adesso,adesso,avverbio,now
costruzione,la costruzione,sostantivo,building
marca,la marca,sostantivo,brand
colpevole,il colpevole,aggettivo - sostantivo,culprit
scrivere,scrivere,verbo transitivo,to write
partito,il partito,sostantivo,party
ospitalità,l'ospitalità,sostantivo,hospitality
diavolo,il diavolo,sostantivo,devil
attore/trice,l'attore/l'attrice,sostantivo,actor/actress
appassionato,appassionato/a/i/e,aggettivo,passionate
telefilm,il telefilm,sostantivo,TV series
positivo,positivo/a/i/e,aggettivo,positive
libro,il libro,sostantivo,book
discutere,discutere,verbo transitivo,to discuss
cosa,la cosa,sostantivo,thing
alcuno,alcuno/a/i/e,aggettivo,any
capace,capace/i,aggettivo,capable
includere,includere,verbo transitivo,to include
ubriaco,ubriaco/a/i/e,aggettivo,drunk
desiderio,il desiderio,sostantivo,desire
scuola,la scuola,sostantivo,school
tuttavia,tuttavia,congiunzione,however
viaggio,il viaggio,sostantivo,trip
pettine,il pettine,sostantivo,comb
soprattutto,soprattutto,avverbio,especially
preferire,preferire,verbo transitivo,to prefer
piegare/si,piegare,v.t. - v. rifl.,to fold
traffico,il traffico,sostantivo,traffic
galleria,la galleria,sostantivo,gallery
ieri,ieri,avverbio,yesterday
rifiutare,rifiutare,verbo transitivo,refuse
anche,anche,congiunzione,also
insegnare,insegnare,verbo transitivo,to teach
amaro,amaro/a/i/e,aggettivo,bitter
bocciare,bocciare,verbo transitivo,to fail
studio,lo studio,sostantivo,study
auto,auto,mobile,car
bravo,bravo/a/i/e,aggettivo - interiezione,good
improvvisamente,improvvisamente,avverbio,suddenly
sognare,sognare,verbo transitivo,to dream
arancia,l'arancia,sostantivo,orange
adulto/a,l'adulto,aggettivo - sostantivo,adult
negativo,negativo/a/i/e,aggettivo,negative
parola,la parola,sostantivo,word
politica,la politica,sostantivo,politics
pescare,pescare,verbo transitivo,to fish
tecnico,il tecnico,sostantivo,technician
colorare,colorare,verbo transitivo,to color
né,né,congiunzione,nor
confrontare,confrontare,verbo transitivo,compare
appetito,l'appetito,sostantivo,appetite
rendere,rendere,verbo transitivo,to render
blu,blu,aggettivo,blue
pollo,il pollo,sostantivo,chicken
sinistra,la sinistra,sostantivo,left
sopra,sopra,prep. - avv.,above
avanti,avanti,avverbio,forward
restare,restare,verbo intransitivo,remain
usare,usare,verbo transitivo,to use
minuscolo,minuscolo/a/i/e,aggettivo,tiny
spendere,spendere,verbo transitivo,to spend
ghiaccio,il ghiaccio,sostantivo,ice
scala,la scala,sostantivo,staircase
chiamare/si,chiamare,verbo transitivo - verbo intransitivo pronominale,to call
cura,la cura,sostantivo,care
ti,ti,pronome,you
amore,l'amore,sostantivo,love
magari,magari,inter. - cong.,maybe
profondo,profondo/a/i/e,aggettivo,deep
feriale,feriale/i,aggettivo,weekday
organizzare,organizzare,verbo transitivo,to organize
probabile,probabile/i,aggettivo,probable
canzone,la canzone,sostantivo,song
e-mail,l'e-mail,sostantivo,email
concentrare/si,concentrare/si,v.t - v. rifl.,to concentrate
altrettanto,altrettanto/a/i/e,aggettivo,as much
uguale,uguale/i,aggettivo,equal
supermercato,il supermercato,sostantivo,supermarket
aumentare,aumentare,verbo transitivo - verbo intransitivo,increase
bisognare,bisognare,verbo intransitivo,to be necessary
violenza,la violenza,sostantivo,violence
stendere/si,stendere/si,verbo transitivo - verbo riflessivo,to stretch out
voglia,la voglia,sostantivo,desire
realizzare,realizzare,verbo transitivo,to achieve
complemento,il complemento,sostantivo,complement
rallentare,rallentare,verbo transitivo,to slow down
volentieri,volentieri,avverbio,gladly
bistecca,la bistecca,sostantivo,steak
giardinaggio,il giardinaggio,sostantivo,gardening
trasformare,trasformare,verbo transitivo,transform
interessarsi,interessarsi,verbo intransitivo pronominale,to be interested
soggiorno,il soggiorno,sostantivo,living room
posto,il posto,sostantivo,place
stretto,stretto/a/i/e,aggettivo,narrow
pelle,la pelle,sostantivo,skin
sparare,sparare,verbo transitivo,to shoot
treno,il treno,sostantivo,train
commento,il commento,sostantivo,comment
asciugare/si,asciugare,verbo transitivo - verbo riflessivo - verbo transitivo pronominale,to dry
contento,contento/a/i/e,aggettivo,happy
dentro,dentro,avverbio - preposizione,inside
infatti,infatti,congiunzione,in fact
dunque,dunque,congiunzione,therefore
elettricista,l'elettricista,sostantivo,electrician
religioso,religioso/a/i/e,aggettivo,religious
dovere,dovere,verbo intransitivo,must
curioso,curioso/a/i/e,aggettivo,curious
odio,l'odio,sostantivo,hatred
contratto,il contratto,sostantivo,contract
qualche,qualche,aggettivo,some
valigia,la valigia,sostantivo,suitcase
apprezzare,apprezzare,verbo transitivo,to appreciate
mostrare,mostrare,verbo transitivo,to show
ascoltare,ascoltare,verbo transitivo,to listen
galera,la galera,sostantivo,prison
burro,il burro,sostantivo,butter
terra,la terra,sostantivo,earth
ricetta,la ricetta,sostantivo,recipe
ne,ne,particella pronominale,of it
serata,la serata,sostantivo,evening
quintale,il quintale,sostantivo,quintal
firmare,firmare,verbo transitivo,to sign
giovedì,il giovedì,sostantivo,Thursday
male,male,avverbio,badly
sonno,il sonno,sostantivo,sleep
ambiente,l'ambiente,sostantivo,environment
su,su,prep. - avv.,up
dicembre,il dicembre,sostantivo,December
regola,la regola,sostantivo,rule
appartamento,l'appartamento,sostantivo,apartment
tosse,la tosse,sostantivo,cough
grammo,il grammo,sostantivo,gram
conversazione,la conversazione,sostantivo,conversation
master,il master,sostantivo,master's degree
veloce,veloce/i,aggettivo,fast
banana,la banana,sostantivo,banana
documento,il documento,sostantivo,document
totale,il totale,sostantivo,total
vivo,vivo/a/i/e,aggettivo,alive
parecchio,parecchio/a/i/e,avverbio - aggettivo,a lot
prestare,prestare,verbo transitivo,to lend
famoso,famoso/a/i/e,aggettivo,famous
meraviglioso,meraviglioso/a/i/e,aggettivo,wonderful
contemporaneo,contemporaneo/a/i/e,aggettivo,contemporary
affatto,affatto,avverbio,at all
gioia,la gioia,sostantivo,joy
ufficio,l'ufficio,sostantivo,office
stare,stare,verbo intransitivo,to be
corto,corto/a/i/e,aggettivo,short
metodo,il metodo,sostantivo,method
umore,l'umore,sostantivo,mood
lenzuolo,il lenzuolo,sostantivo,bedsheet
non,non,avverbio,not
fine,la fine,sostantivo,end
intelligente,intelligente/i,aggettivo,intelligent
tovagliolo,il tovagliolo,sostantivo,napkin
divertirsi,divertirsi,verbo riflessivo,to have fun
trasparente,trasparente/i,aggettivo,transparent
versare,versare,verbo transitivo,to pour
combattere,combattere,verbo transitivo - verbo intransitivo,to fight
ragazzo/a,il ragazzo,sostantivo,boy
presso,presso,avverbio,near
inizio,l'inizio,sostantivo,beginning
oro,l'oro,sostantivo,gold
rompere/si,rompere,verbo transitivo - verbo transitivo pronominale,to break
raccontare,raccontare,verbo transitivo,tell
domenica,la domenica,sostantivo,Sunday
difetto,il difetto,sostantivo,defect
intenzione,l'intenzione,sostantivo,intention
terrazza,la terrazza,sostantivo,terrace
genitore,il genitore,sostantivo,parent
ottimista,ottimista/e,aggettivo,optimistic
sospendere,sospendere,verbo transitivo,suspend
confuso,confuso/a/i/e,aggettivo,confused
ciao,ciao,interiezione,hello
anello,l'anello,sostantivo,ring
liscio,liscio/a/i/e,aggettivo,smooth
sebbene,sebbene,congiunzione,although
fiume,il fiume,sostantivo,river
municipio,il municipio,sostantivo,town hall
visitare,visitare,verbo transitivo,to visit
dentista,il dentista,sostantivo,dentist
duro,duro/a/i/e,aggettivo,hard
giustizia,la giustizia,sostantivo,justice
poiché,poiché,congiunzione,since
residenza,la residenza,sostantivo,residence
coniugare,coniugare,verbo transitivo,conjugate
grado,il grado,sostantivo,degree
millimetro,il millimetro,sostantivo,millimeter
alimentari,gli alimentari,sostantivo plurale,groceries
ci,ci,particella pronominale - pronome,us
capire,capire,verbo transitivo,understand
responsabile,il responsabile,aggettivo - sostantivo,manager
figlio/a,il figlio,sostantivo,son
inventare,inventare,verbo transitivo,to invent
puzza,la puzza,sostantivo,stink
potere,potere,verbo intransitivo,to be able to
statale,statale/i,aggettivo,state
suocero/a,il suocero,sostantivo,father-in-law
raccomandarsi,raccomandarsi,verbo intransitivo pronominale,to implore
luna,la luna,sostantivo,moon
considerazione,la considerazione,sostantivo,consideration
bicchiere,il bicchiere,sostantivo,glass
musica,la musica,sostantivo,music
bambino/a,il bambino,sostantivo,boy
cronaca,la cronaca,sostantivo,chronicle
carota,la carota,sostantivo,carrot
finché,finché,congiunzione,until
perdere,perdere,verbo transitivo,lose
morte,la morte,sostantivo,death
pieno,il pieno,aggettivo - sostantivo,full
annuncio,l'annuncio,sostantivo,announcement
festeggiare,festeggiare,verbo transitivo,celebrate
salita,la salita,sostantivo,ascent
sporcare,sporcare,verbo transitivo,to dirty
particolarmente,particolarmente,avverbio,particularly
utile,utile/i,aggettivo,useful
regalare,regalare,verbo transitivo,to give
nascondere,nascondere,verbo transitivo,to hide
riuscire,riuscire,verbo intransitivo,to succeed
aprile,l'aprile,sostantivo,April
manica,la manica,sostantivo,sleeve
denuncia,la denuncia,sostantivo,complaint
pomeriggio,il pomeriggio,sostantivo,afternoon
esercizio,l'esercizio,sostantivo,exercise
agio,l'agio,sostantivo,ease
sentire/si,sentire,v.t. – v.rifl. recip. – v.rifl.,to hear
regalo,il regalo,sostantivo,gift
rettangolare,rettangolare/i,aggettivo,rectangular
promettere,promettere,verbo transitivo,to promise
sdraiare/si,sdraiare/si,v. t - v. rifl.,to lie down
cuocere,cuocere,verbo transitivo,to cook
mai,mai,avverbio,never
mangiare,mangiare,verbo transitivo,to eat
fantastico,fantastico/a/i/e,aggettivo,fantastic
lì,lì,avverbio,there
causa,la causa,sostantivo,cause
accidenti,accidenti,interiezione,damn
caldo,il caldo,aggettivo - sostantivo,heat
verso,verso,preposizione,towards
birra,la birra,sostantivo,beer
chiedere,chiedere,verbo transitivo,to ask
domanda,la domanda,sostantivo,question
annullare,annullare,verbo transitivo,cancel
ogni,ogni,aggettivo,every
onesto,onesto/a/i/e,aggettivo,honest
inferiore,inferiore/i,aggettivo,inferior
squadra,la squadra,sostantivo,team
imitare,imitare,verbo transitivo,to imitate
attesa,l'attesa,sostantivo,wait
corso,il corso,sostantivo,course
antipasto,l'antipasto,sostantivo,appetizer
sentimento,il sentimento,sostantivo,feeling
impegnare,impegnare,verbo transitivo,to commit
domani,domani,avverbio,tomorrow
argomento,l'argomento,sostantivo,topic
partire,partire,verbo intransitivo,to leave
patata,la patata,sostantivo,potato
panino,il panino,sostantivo,sandwich
netto,netto/a/i/e,aggettivo,clear
fumetto,il fumetto,sostantivo,comic
elezione,l'elezione,sostantivo,election
perciò,perciò,congiunzione,therefore
caricare,caricare,verbo transitivo,to load
commercio,il commercio,sostantivo,trade
ma,ma,congiunzione,but
assente,assente/i,aggettivo,absent
domandare,domandare,verbo transitivo,to ask
attendere,attendere,verbo transitivo - verbo intransitivo,to wait
di,di,preposizione,of
cappello,il cappello,sostantivo,hat
posata,la posata,sostantivo,cutlery
troppo,troppo/a/i/e,aggettivo - avverbio,too much
medico,il medico,sostantivo,doctor
solitudine,la solitudine,sostantivo,loneliness
promuovere,promuovere,verbo transitivo,promote
gente,la gente,sostantivo,people
grosso,grosso/a/i/e,aggettivo,big
giudice,il giudice,sostantivo,judge
liquido,liquido/a/i/e,aggettivo,liquid
paesaggio,il paesaggio,sostantivo,landscape
Dio,il Dio,sostantivo,God
tè,il tè,sostantivo,tea
trascorrere,trascorrere,verbo transitivo,to spend
appartenere,appartenere,verbo intransitivo,belong
alto,alto/a/i/e,aggettivo,tall
concerto,il concerto,sostantivo,concert
cuscino,il cuscino,sostantivo,pillow
accordo,l'accordo,sostantivo,agreement
armadio,l'armadio,sostantivo,wardrobe
sì,sì,avverbio,yes
acquistare,acquistare,verbo transitivo,to purchase
artigianato,l'artigianato,sostantivo,craftsmanship
inutile,inutile/i,aggettivo,useless
settembre,il settembre,sostantivo,September
roulotte,la roulotte,sostantivo,caravan
figurarsi,figurarsi,verbo transitivo pronominale,to imagine
grasso,grasso/a/i/e,aggettivo,fat
moto(cicletta),la motocicletta,sostantivo,motorcycle
fretta,la fretta,sostantivo,hurry
presentare,presentare,verbo transitivo,to present
droga,la droga,sostantivo,drug
uscita,l'uscita,sostantivo,exit
accogliere,accogliere,verbo transitivo,welcome
martedì,il martedì,sostantivo,Tuesday
preparare,preparare,verbo transitivo,to prepare
