italian,function
orologio,sostantivo
orribile,aggettivo
ospedale,sostantivo
ospitalità,sostantivo
ospite,sostantivo
osservare,verbo transitivo
ottimista,aggettivo
ottimo,aggettivo
ottobre,sostantivo
ovale,aggettivo
ovest,sostantivo
ovvio,aggettivo
pacco,sostantivo
pace,sostantivo
padella,sostantivo
padre,sostantivo
padrone/a,sostantivo
paesaggio,sostantivo
paese,sostantivo
paga,sostantivo
pagamento,sostantivo
pagare,verbo transitivo
pagina,sostantivo
paio,sostantivo
palazzo,sostantivo
palestra,sostantivo
palla,sostantivo
pallacanestro,sostantivo
pane,sostantivo
panino,sostantivo
pantalone,sostantivo
Papa,sostantivo
papà,sostantivo
parcheggio,sostantivo
parco,sostantivo
parecchio,avverbio - aggettivo
parente,sostantivo
parentesi,sostantivo
parere,sostantivo
parete,sostantivo
parlamento,sostantivo
parlare,verbo transitivo - verbo intransitivo
parola,sostantivo
parte,sostantivo
partecipare,verbo intransitivo
partenza,sostantivo
particolarmente,avverbio
partire,verbo intransitivo
partita,sostantivo
partito,sostantivo
Pasqua,sostantivo
passaggio,sostantivo
passaporto,sostantivo
passare,verbo transitivo
passato,sostantivo
passeggiare,verbo intransitivo
passeggiata,sostantivo
passione,sostantivo
pasta,sostantivo
pasto,sostantivo
patata,sostantivo
patente,sostantivo
patto,sostantivo
paura,sostantivo
pausa,sostantivo
pavimento,sostantivo
pazienza,sostantivo
pazzesco,aggettivo
peccato,sostantivo
pediatra,sostantivo
pedonale,aggettivo
peggio,avverbio - aggettivo
peggiorare,verbo transitivo
peggiore,aggettivo
pelle,sostantivo
pena,sostantivo
penna,sostantivo
pensare,verbo intransitivo
pensione,sostantivo
pentola,sostantivo
pepe,sostantivo
per,preposizione
pera,sostantivo
perché,avv. - cong.
perciò,congiunzione
perdere,verbo transitivo
perdonare,verbo transitivo
perfetto,aggettivo
perfino,avverbio
pericoloso,aggettivo
periferia,sostantivo
periodo,sostantivo
permesso,sostantivo
però,congiunzione
persona,sostantivo
personaggio,sostantivo
personale,aggettivo - sostantivo
personalità,sostantivo
personalmente,avverbio
pesante,aggettivo
pesare,verbo transitivo
pescare,verbo transitivo
pesce,sostantivo
pessimista,aggettivo
pessimo,aggettivo
pettine,sostantivo
pezzo,sostantivo
phon,sostantivo
piacere,v.int - s.m.
piacevole,aggettivo
piangere,verbo intransitivo
piano,avv. - s.m.
pianta,sostantivo
piatto,sostantivo
piazza,sostantivo
piccante,aggettivo
piccolo,aggettivo
piede,sostantivo
piegare/si,v.t. - v. rifl.
pieno,aggettivo - sostantivo
pietà,sostantivo
pigro,aggettivo
pillola,sostantivo
pioggia,sostantivo
piovere,verbo intransitivo
pipa,sostantivo
piscina,sostantivo
pisello,sostantivo
pistola,sostantivo
pittore/trice,sostantivo
pittura,sostantivo
più,avverbio
piuttosto,avverbio
pizza,sostantivo
pizzeria,sostantivo
pizzico,sostantivo
plastica,sostantivo
plurale,aggettivo - sostantivo
poco,po'
poesia,sostantivo
poeta/essa,sostantivo
poi,avverbio
poiché,congiunzione
politica,sostantivo
politico,aggettivo
polizia,sostantivo
polizza,sostantivo
pollo,sostantivo
poltrona,sostantivo
pomeriggio,sostantivo
pomodoro,sostantivo
pompiere,sostantivo
ponte,sostantivo
pop,sostantivo - aggettivo
porco,aggettivo
porgere,verbo transitivo
porta,sostantivo
portare,verbo transitivo
porto,sostantivo
posacenere,sostantivo
posata,sostantivo
positivo,aggettivo
possedere,verbo transitivo
possibile,aggettivo
possibilità,sostantivo
posta,sostantivo
postino,sostantivo
posto,sostantivo
potere,verbo intransitivo
povero,aggettivo
povertà,sostantivo
pranzare,verbo intransitivo
pranzo,sostantivo
praticamente,avverbio
pratico,aggettivo
prato,sostantivo
precedente,aggettivo
precedenza,sostantivo
preferire,verbo transitivo
prefisso,sostantivo
pregare,verbo transitivo
prego,interiezione
premere,verbo transitivo
prendere,verbo transitivo
prendersela,v. t. pron.
prenotare,verbo transitivo
preoccuparsi,verbo intransitivo pronominale
preoccupazione,sostantivo
preparare,verbo transitivo
preposizione,sostantivo
presentare,verbo transitivo
presentazione,sostantivo
presente,aggettivo
presenza,sostantivo
preside,sostantivo
presidente,sostantivo
presso,avverbio
prestare,verbo transitivo
prestito,sostantivo
presto,avverbio
prete,sostantivo
previsione,sostantivo
prezzemolo,sostantivo
prezzo,sostantivo
prigione,sostantivo
prima,avverbio
primavera,sostantivo
primo,aggettivo - sostantivo
principale,sostantivo
privato,aggettivo
probabile,aggettivo
probabilità,sostantivo
probabilmente,avverbio
problema,sostantivo
processo,sostantivo
prodotto,sostantivo
professore/ssa,sostantivo
profondo,aggettivo
profumo,sostantivo
progetto,sostantivo
programma,sostantivo
proibire,verbo transitivo
promettere,verbo transitivo
promuovere,verbo transitivo
pronome,sostantivo
pronto,aggettivo
pronuncia,sostantivo
proporre,verbo transitivo
proposito,sostantivo
proprio,aggettivo - avverbio
prosciutto,sostantivo
prossimo,aggettivo
protagonista,sostantivo
proteggere,verbo transitivo
provare,verbo transitivo
Provincia,sostantivo
pubblicità,sostantivo
pubblico,aggettivo
pulire,verbo transitivo
pulizia,sostantivo
punto,sostantivo
purché,congiunzione
pure,avv. - cong.
puro,aggettivo
purtroppo,avverbio
puzza,sostantivo
puzzare,verbo intransitivo
qua,avverbio
quaderno,sostantivo
quadrato,aggettivo
quadro,sostantivo - aggettivo
qualche,aggettivo
qualcosa,pronome
qualcuno,pronome
quale,pronome - aggettivo
qualità,sostantivo
qualsiasi,pronome - aggettivo
qualunque,aggettivo
quando,cong. - avv.
quanto,agg. - pron - avv.
quartiere,sostantivo
quarto,sostantivo
quasi,avverbio
quello,agg. - pron.
questione,sostantivo
questo,agg. - pron.
questura,sostantivo
qui,avverbio
quindi,avv. - cong.
quintale,sostantivo
quotidiano,sostantivo
racchetta,sostantivo
raccogliere,verbo transitivo
raccomandarsi,verbo intransitivo pronominale
raccomandata,sostantivo
raccontare,verbo transitivo
radio,sostantivo
raffreddore,sostantivo
ragazzo/a,sostantivo
raggiungere,verbo transitivo
ragione,sostantivo
rallentare,verbo transitivo
rapina,sostantivo
rapporto,sostantivo
raramente,avverbio
rata,sostantivo
reagire,verbo intransitivo
realizzare,verbo transitivo
realtà,sostantivo
reclamo,sostantivo
regalare,verbo transitivo
regalo,sostantivo
Regione,sostantivo
regista,sostantivo
regola,sostantivo
relazione,sostantivo
religioso,aggettivo
rendere,verbo transitivo
reparto,sostantivo
repubblica,sostantivo
residenza,sostantivo
responsabile,aggettivo - sostantivo
responsabilità,sostantivo
restare,verbo intransitivo
restituire,verbo transitivo
resto,sostantivo
rettangolare,aggettivo
rettore,sostantivo
riassumere,verbo transitivo
ricchezza,sostantivo
riccio,aggettivo
ricco,aggettivo
ricerca,sostantivo
ricetta,sostantivo
ricevere,verbo transitivo
ricevuta,sostantivo
riconoscere,verbo transitivo
ricordare/si,v.t. - v.t. pron. - v.int. pron.
ricordo,sostantivo
ridere,verbo intransitivo
ridicolo,aggettivo
riferire/si,verbo transitivo - verbo intransitivo pronominale
rifiutare,verbo transitivo
riflettere,verbo intransitivo
riguardare,verbo transitivo
rilassarsi,verbo riflessivo
rimanere,verbo intransitivo
rimettersi,verbo intransitivo pronominale
ringraziare,verbo transitivo
rinunciare,verbo intransitivo
riparare,verbo transitivo
ripetere,verbo transitivo
riposare/si,verbo intransitivo - verbo intransitivo pronominale
riprendere/si,verbo transitivo - verbo intransitivo pronominale
riscaldamento,sostantivo
rischioso,aggettivo
riscontro,sostantivo
riso,sostantivo
risolvere,verbo transitivo
risparmiare,verbo transitivo
rispettare,verbo transitivo
rispetto,sostantivo
rispondere,verbo intransitivo
risposta,sostantivo
ristorante,sostantivo
risultato,sostantivo
ritardo,sostantivo
ritirare,verbo transitivo
ritornare,verbo intransitivo
ritrovare,verbo transitivo
riuscire,verbo intransitivo
rivista,sostantivo
roba,sostantivo
rock,sostantivo
romantico,aggettivo
romanzo,sostantivo
rompere/si,verbo transitivo - verbo transitivo pronominale
rosa,aggettivo
rosso,aggettivo
rotatoria,sostantivo
rotondo,aggettivo
roulotte,sostantivo
rubare,verbo transitivo
rumore,sostantivo
ruota,sostantivo
ruvido,aggettivo
sabato,sostantivo
sacco,sostantivo
saggio,sostantivo
sala,sostantivo
salame,sostantivo
salato,aggettivo
saldo,sostantivo
sale,sostantivo
salire,verbo transitivo - verbo intransitivo
salita,sostantivo
salotto,sostantivo
salsa,sostantivo
saltare,verbo transitivo - verbo intransitivo
salutare,verbo transitivo
salute,s.f. - inter.
saluto,sostantivo
salvare,verbo transitivo
salve,interiezione
sandalo,sostantivo
sano,aggettivo
santo,aggettivo - sostantivo
sapere,verbo transitivo
sapone,sostantivo
sapore,sostantivo
sbagliare/si,v.t. - v.int. - v.int. pron.
sbaglio,sostantivo
sbucciare,verbo transitivo
scaffale,sostantivo
scala,sostantivo
scaricare,verbo transitivo
scarpa,sostantivo
scegliere,verbo transitivo
scendere,verbo transitivo - verbo intransitivo
scherzare,verbo intransitivo
schiera,sostantivo
schifo,sostantivo
sci,sostantivo
sciare,verbo intransitivo
scienza,sostantivo
sciopero,sostantivo
sciroppo,sostantivo
scomodo,aggettivo
sconfiggere,verbo transitivo
sconto,sostantivo
scontrino,sostantivo
scopo,sostantivo
scoprire,verbo transitivo
scorretto,aggettivo
scorso,aggettivo
scrittore/trice,sostantivo
scrivania,sostantivo
scrivere,verbo transitivo
scultore/trice,sostantivo
scultura,sostantivo
scuola,sostantivo
scuro,aggettivo
scusa,sostantivo
scusare,verbo transitivo
sdraiare/si,v. t - v. rifl.
se,congiunzione
sé,pronome
sebbene,congiunzione
secco,aggettivo
secolo,sostantivo
secondo,s.m. - prep.  - agg.
sede,sostantivo
sedersi,verbo intransitivo pronominale
sedia,sostantivo
segretario/a,sostantivo
segreteria,sostantivo
seguente,aggettivo
seguire,verbo transitivo
seguito,sostantivo
semaforo,sostantivo
sembrare,verbo intransitivo
semplice,aggettivo
sempre,avverbio
senato,sostantivo
sennò,congiunzione
sensazione,sostantivo
senso,sostantivo
sentimento,sostantivo
sentire/si,v.t. – v.rifl. recip. – v.rifl.
senza,prep.- avv.
separare/si,v.t. – v.rifl. recip.
sera,sostantivo
serata,sostantivo
sereno,aggettivo
serio,aggettivo
servire,verbo intransitivo
servizio,sostantivo
sesso,sostantivo
seta,sostantivo
sete,sostantivo
settembre,sostantivo
settimana,sostantivo
settimanale,sostantivo
sfortuna,sostantivo
sfruttare,verbo transitivo
shampoo,sostantivo
si,pronome
sì,avverbio
sia,congiunzione
siccome,congiunzione
sicuramente,avverbio
sicurezza,sostantivo
sicuro,aggettivo
sigaretta,sostantivo
sigaro,sostantivo
significare,verbo transitivo
significato,sostantivo
signore/a,sostantivo
silenzio,sostantivo
sillaba,sostantivo
simile,aggettivo
simpatico,aggettivo
sindacato,sostantivo
sindaco,sostantivo
singolare,aggettivo
singolo,aggettivo
sinistra,sostantivo
sistema,sostantivo
sito,sostantivo
situazione,sostantivo
smettere,verbo transitivo
sms,sostantivo
soccorso,sostantivo
sociale,aggettivo
società,sostantivo
socievole,aggettivo
socio/a,sostantivo
soddisfatto,aggettivo
soffitto,sostantivo
soffrire,verbo intransitivo
soggetto,sostantivo
soggiorno,sostantivo
sognare,verbo transitivo
sogno,sostantivo
soldato/essa,sostantivo
soldo,sostantivo
sole,sostantivo
solido,aggettivo
solito,aggettivo
solitudine,sostantivo
sollecito,aggettivo
solo,aggettivo - avverbio
soltanto,avverbio
soluzione,sostantivo
somma,sostantivo
sonno,sostantivo
sopra,prep. - avv.
soprattutto,avverbio
sopravvivere,verbo intransitivo
sordo,aggettivo
sorella,sostantivo
sorpresa,sostantivo
sorridere,verbo intransitivo
sospendere,verbo transitivo
sottile,aggettivo
sotto,prep. - avv.
sottolineare,verbo transitivo
sottrarre,verbo transitivo
spaghetto,sostantivo
sparare,verbo transitivo
spaventare,verbo transitivo
spaventoso,aggettivo
spazio,sostantivo
spazzolino,sostantivo
specchio,sostantivo
speciale,aggettivo
specializzarsi,verbo intransitivo pronominale
specializzazione,sostantivo
specialmente,avverbio
spedire,verbo transitivo
spegnere,verbo transitivo
spendere,verbo transitivo
sperare,verbo intransitivo
spesa,sostantivo
spesso,avverbio - aggettivo
spettabile,aggettivo
spettacolo,sostantivo
spiaggia,sostantivo
spicchio,sostantivo
spiegare/si,verbo transitivo - verbo riflessivo
spingere,verbo transitivo
spogliarsi,verbo riflessivo
sporcare,verbo transitivo
sporco,aggettivo
sport,sostantivo
sportivo,aggettivo
sposare/si,v.t. – v.rifl. recip.
spostare,verbo transitivo
spuntino,sostantivo
squadra,sostantivo
stadio,sostantivo
stage,sostantivo
stamattina,avverbio
stampare,verbo transitivo
stanco,aggettivo
stanotte,avverbio
stanza,sostantivo
stare,verbo intransitivo
stasera,avverbio
statale,aggettivo
stato,sostantivo
stazione,sostantivo
stella,sostantivo
stendere/si,verbo transitivo - verbo riflessivo
stesso,agg. - pron.
stile,sostantivo
stipendio,sostantivo
stirare,verbo transitivo
stiro,sostantivo
stivale,sostantivo
stomaco,sostantivo
stop,sostantivo
storia,sostantivo
storico,aggettivo
strada,sostantivo
straniero,aggettivo
strano,aggettivo
stress,sostantivo
stressare,verbo transitivo
stretto,aggettivo
studente/ssa,sostantivo
studiare,verbo transitivo
studio,sostantivo
su,prep. - avv.
subito,avverbio
succedere,verbo intransitivo
successo,sostantivo
sud,sostantivo
suo,agg. - pron.
suocero/a,sostantivo
suonare,verbo transitivo
suora,sostantivo
superare,verbo transitivo
superiore,aggettivo
supermercato,sostantivo
svantaggio,sostantivo
svegliare/si,verbo transitivo - verbo intransitivo pronominale
sviluppare,verbo transitivo
sviluppo,sostantivo
svolgere,verbo transitivo
tabaccaio,sostantivo
tagliare,verbo transitivo
tale,aggettivo
talk-show,sostantivo
talvolta,avverbio
tanto,pronome - aggettivo
tappeto,sostantivo
tardi,avverbio
tariffa,sostantivo
tasca,sostantivo
tassa,sostantivo
tavola,sostantivo
tavolo,sostantivo
taxi,sostantivo
tazza,sostantivo
te,pronome
tè,sostantivo
teatro,sostantivo
tecnico,sostantivo
tecnologia,sostantivo
telefilm,sostantivo
telefonare,verbo intransitivo
telefonata,sostantivo
telefono,sostantivo
telegiornale,sostantivo
telegramma,sostantivo
televisione,sostantivo
temere,verbo transitivo
temperatura,sostantivo
tempo,sostantivo
temporale,sostantivo
tenda,sostantivo
tenere,verbo transitivo
tenero,aggettivo
tennis,sostantivo
tensione,sostantivo
teoria,sostantivo
terapia,sostantivo
terminare,verbo transitivo
termometro,sostantivo
termosifone,sostantivo
terra,sostantivo
terrazza,sostantivo
terribile,aggettivo
terrorismo,sostantivo
terrorizzare,verbo transitivo
testa,sostantivo
testo,sostantivo
tetto,sostantivo
ti,pronome
tiepido,aggettivo
tigre,sostantivo
timido,aggettivo
tipico,aggettivo
tipo,sostantivo
tirare,verbo transitivo
titolo,sostantivo
toccare,verbo transitivo
togliere,verbo transitivo
tombola,sostantivo
tonnellata,sostantivo
tornare,verbo intransitivo
torre,sostantivo
torta,sostantivo
tortellino,sostantivo
torto,sostantivo
tosse,sostantivo
tostapane,sostantivo
totale,sostantivo
tovaglia,sostantivo
tovagliolo,sostantivo
tra,preposizione
tradizionale,aggettivo
tradurre,verbo transitivo
traffico,sostantivo
tragedia,sostantivo
tramonto,sostantivo
tranquillità,sostantivo
tranquillo,aggettivo
trascorrere,verbo transitivo
trasferirsi,verbo intransitivo pronominale
trasformare,verbo transitivo
traslocare,verbo intransitivo
trasloco,sostantivo
trasmissione,sostantivo
trasparente,aggettivo
trasportare,verbo transitivo
trattare,verbo transitivo
tratto,sostantivo
treno,sostantivo
tribunale,sostantivo
triste,aggettivo
troppo,aggettivo - avverbio
trovare/si,v.t.  - v.int. pron.
tu,pronome
tuo,agg. - pron.
tuono,sostantivo
turismo,sostantivo
turista,sostantivo
tuttavia,congiunzione
tutto,aggettivo
tv,sostantivo
ubriacarsi,verbo intransitivo pronominale
ubriaco,aggettivo
uccello,sostantivo
uccidere,verbo transitivo
uffa,interiezione
ufficio,sostantivo
uguale,aggettivo
ulteriore,aggettivo
ultimo,aggettivo
umido,aggettivo
umore,sostantivo
un/o/a,art. - pron.
unico,aggettivo
università,sostantivo
uomo,sostantivo
uovo,sostantivo
urgente,aggettivo
usare,verbo transitivo
uscire,verbo intransitivo
uscita,sostantivo
utile,aggettivo
utilizzare,verbo transitivo
vacanza,sostantivo
vaglia,sostantivo
vagone,sostantivo
valere,verbo transitivo - verbo intransitivo
valigia,sostantivo
valore,sostantivo
vantaggio,sostantivo
variabile,aggettivo
vario,aggettivo
vasca,sostantivo
vaso,sostantivo
vecchio,aggettivo
vedere/si,v.t. - v. rifl. recip.
vedovo,aggettivo
vegetariano,aggettivo
veloce,aggettivo
velocemente,avverbio
velocità,sostantivo
vendere,verbo transitivo
venerdì,sostantivo
venire,verbo intransitivo
vento,sostantivo
veramente,avverbio
verbo,sostantivo
verde,aggettivo
verdura,sostantivo
vergognarsi,verbo intransitivo pronominale
verità,sostantivo
vero,aggettivo
versare,verbo transitivo
verso,preposizione
verticale,aggettivo
vestirsi,verbo riflessivo
vestito,sostantivo
vetrina,sostantivo
vetro,sostantivo
vi,pronome
via,s.f. – avv.
viaggiare,verbo intransitivo
viaggio,sostantivo
vicino,avverbio
vietare,verbo transitivo
vigile/ssa,sostantivo
villa,sostantivo
villaggio,sostantivo
vincere,verbo transitivo - verbo intransitivo
vino,sostantivo
viola,aggettivo
violenza,sostantivo
virgola,sostantivo
virgoletta,sostantivo
visitare,verbo transitivo
viso,sostantivo
vista,sostantivo
visto,sostantivo
vita,sostantivo
vivere,verbo intransitivo
vivo,aggettivo
vocale,sostantivo
voce,sostantivo
voglia,sostantivo
voi,pronome
volare,verbo intransitivo
volentieri,avverbio
volere,verbo intransitivo
volontà,sostantivo
volta,sostantivo
vostro,agg. - pron.
votare,verbo transitivo
vuoto,aggettivo
water,sostantivo
zaino,sostantivo
zio/a,sostantivo
zucchero,sostantivo
