italian_original,italian,function,english
cellulare,il cellulare,sostantivo,mobile phone
frutta,la frutta,sostantivo,fruit
dettato,il dettato,sostantivo,dictation
pollo,il pollo,sostantivo,chicken
viola,viola,aggettivo,purple
congratulazione,la congratulazione,sostantivo,congratulation
ragione,la ragione,sostantivo,reason
biondo,biondo/a/i/e,aggettivo,blond
perché,perché,avv. - cong.,because
telefonare,telefonare,verbo intransitivo,to call
buio,il buio,sostantivo,darkness
serio,serio/a/i/e,aggettivo,serious
scuola,la scuola,sostantivo,school
ottobre,l'ottobre,sostantivo,October
salve,salve,interiezione,hello
collina,la collina,sostantivo,hill
sicuro,sicuro/a/i/e,aggettivo,sure
allegro,allegro/a/i/e,aggettivo,cheerful
anche,anche,congiunzione,also
passeggiare,passeggiare,verbo intransitivo,to walk
arte,l'arte,sostantivo,art
passare,passare,verbo transitivo,to pass
contorno,il contorno,sostantivo,side dish
foglio,il foglio,sostantivo,sheet
aperitivo,l'aperitivo,sostantivo,aperitif
metro(politana),la metropolitana,sostantivo,subway
affetto,l'affetto,sostantivo,affection
leggero,leggero/a/i/e,aggettivo,light
autobus,l'autobus,sostantivo,bus
dente,il dente,sostantivo,tooth
il,il,articolo,the
divorziare,divorziare,verbo intransitivo,to divorce
silenzio,il silenzio,sostantivo,silence
fetta,la fetta,sostantivo,slice
turista,il turista,sostantivo,tourist
lago,il lago,sostantivo,lake
completo,completo/a/i/e,aggettivo,complete
febbraio,il febbraio,sostantivo,February
traffico,il traffico,sostantivo,traffic
dietro,dietro,avv.- prep.,behind
sportivo,sportivo/a/i/e,aggettivo,sporty
chilo,il chilo,sostantivo,kilogram
lavanderia,la lavanderia,sostantivo,laundry
caldo,il caldo,aggettivo - sostantivo,heat
incontrare/si,incontrare,v.t.  - v. rifl. recip.,to meet
parola,la parola,sostantivo,word
autunno,l'autunno,sostantivo,autumn
restare,restare,verbo intransitivo,to remain
water,l'acqua,sostantivo,water
museo,il museo,sostantivo,museum
notte,la notte,sostantivo,night
giornata,la giornata,sostantivo,day
albero,l'albero,sostantivo,tree
mercoledì,il mercoledì,sostantivo,Wednesday
ovest,l'ovest,sostantivo,west
troppo,troppo/a/i/e,aggettivo - avverbio,too much
lavoro,il lavoro,sostantivo,work
cavallo,il cavallo,sostantivo,horse
prima,prima,avverbio,before
gonna,la gonna,sostantivo,skirt
piangere,piangere,verbo intransitivo,to cry
pera,la pera,sostantivo,pear
festa,la festa,sostantivo,party
sbagliare,sbagliare,verbo transitivo,to make a mistake
alfabeto,l'alfabeto,sostantivo,alphabet
livello,il livello,sostantivo,level
vestirsi,vestirsi,verbo riflessivo,to get dressed
divano,il divano,sostantivo,sofa
spingere,spingere,verbo transitivo,to push
lontano,lontano/a/i/e,aggettivo - avverbio,far
consolato,il consolato,sostantivo,consulate
occhio,l'occhio,sostantivo,eye
minuto,il minuto,sostantivo,minute
provare,provare,verbo transitivo,to try
quasi,quasi,avverbio,almost
veramente,veramente,avverbio,truly
identità,l'identità,sostantivo,identity
giocattolo,il giocattolo,sostantivo,toy
ragazzo/a,il ragazzo,sostantivo,boy
economia,l'economia,sostantivo,economy
formaggio,il formaggio,sostantivo,cheese
accendere,accendere,verbo transitivo,to turn on
lezione,la lezione,sostantivo,lesson
gennaio,il gennaio,sostantivo,January
stesso,stesso/a/i/e,aggettivo,same
rimanere,rimanere,verbo intransitivo,to remain
affittare,affittare,verbo transitivo,to rent
spettacolo,lo spettacolo,sostantivo,show
noleggiare,noleggiare,verbo transitivo,to rent
sport,lo sport,sostantivo,sport
giocare,giocare,verbo intransitivo,to play
valigia,la valigia,sostantivo,suitcase
comodino,il comodino,sostantivo,nightstand
aria,l'aria,sostantivo,air
hobby,l'hobby,sostantivo,hobby
lavorare,lavorare,verbo intransitivo,to work
mezzo,mezzo/a/i/e,aggettivo,half
uscita,l'uscita,sostantivo,exit
grasso,grasso/a/i/e,aggettivo,fat
stivale,lo stivale,sostantivo,boot
arrabbiarsi,arrabbiarsi,verbo intransitivo pronominale,to get angry
computer,il computer,sostantivo,computer
posacenere,il posacenere,sostantivo,ashtray
cappello,il cappello,sostantivo,hat
pizza,la pizza,sostantivo,pizza
ghiaccio,il ghiaccio,sostantivo,ice
vostro,vostro,agg. - pron.,your
capire,capire,verbo transitivo,understand
cambiare,cambiare,verbo transitivo,to change
auto,auto,mobile,car
mettere/si,mettere,verbo transitivo - verbo transitivo pronominale,to put
falso,falso/a/i/e,aggettivo,false
tabaccaio,il tabaccaio,sostantivo,tobacconist
ditta,la ditta,sostantivo,company
tovaglia,la tovaglia,sostantivo,tablecloth
domani,domani,avverbio,tomorrow
pranzare,pranzare,v.int,to have lunch
attraversare,attraversare,verbo transitivo,to cross
insegnare,insegnare,verbo transitivo,to teach
divertente,divertente/i,aggettivo,funny
credito,il credito,sostantivo,credit
padrone/a,il padrone,sostantivo,master
litro,il litro,sostantivo,liter
matita,la matita,sostantivo,pencil
rosso,rosso/a/i/e,aggettivo,red
ripetere,ripetere,verbo transitivo,to repeat
divertirsi,divertirsi,verbo riflessivo,to have fun
papà,il papà,sostantivo,dad
da,da,preposizione,from
suonare,suonare,verbo transitivo,to play
dicembre,il dicembre,sostantivo,December
io,io,pronome,I
strano,strano/a/i/e,aggettivo,strange
quale,quale/i,pronome - aggettivo,which
carta,la carta,sostantivo,paper
intorno,intorno,avverbio,around
toccare,toccare,verbo transitivo,to touch
sì,sì,avverbio,yes
impossibile,impossibile/i,aggettivo,impossible
maiale,il maiale,sostantivo,pig
venire,venire,verbo intransitivo,to come
segreteria,la segreteria,sostantivo,secretariat
ora,l'ora,sostantivo - avverbio,hour
interessante,interessante/i,aggettivo,interesting
regalare,regalare,verbo transitivo,to give as a gift
faccia,la faccia,sostantivo,face
nuora,la nuora,sostantivo,daughter-in-law
moto(cicletta),la motocicletta,sostantivo,motorcycle
volare,volare,verbo intransitivo,to fly
per,per,preposizione,for
spesa,la spesa,sostantivo,grocery shopping
scienza,la scienza,sostantivo,science
caffè,il caffè,sostantivo,coffee
lana,la lana,sostantivo,wool
bosco,il bosco,sostantivo,wood
uomo,l'uomo,sostantivo,man
data,i dati,sostantivo,data
morire,morire,verbo intransitivo,to die
antipatico,antipatico/a/i/e,aggettivo,unpleasant
lavastoviglie,la lavastoviglie,sostantivo,dishwasher
maschio,il maschio,sostantivo,male
plurale,plurale/i,aggettivo,plural
scorso,scorso/a/i/e,aggettivo,last
chi,chi,pronome,who
conoscere,conoscere,verbo transitivo,to know
importante,importante/i,aggettivo,important
roulotte,la roulotte,sostantivo,caravan
bere,bere,verbo transitivo,to drink
rispondere,rispondere,verbo intransitivo,to answer
sperare,sperare,verbo intransitivo,to hope
qui,qui,avverbio,here
abitare,abitare,verbo intransitivo,to live
pioggia,la pioggia,sostantivo,rain
patata,la patata,sostantivo,potato
cantina,la cantina,sostantivo,cellar
cucinare,cucinare,verbo transitivo,to cook
gita,la gita,sostantivo,trip
lungo,lungo/a/hi/he,aggettivo,long
già,già,avverbio,already
tuo,tuo,agg. - pron.,your
prendere,prendere,verbo transitivo,to take
cognato/a,il cognato,sostantivo,brother-in-law
nervoso,nervoso/a/i/e,aggettivo,nervous
paio,il paio,sostantivo,pair
stiro,lo stiro,sostantivo,ironing
guidare,guidare,verbo transitivo,to drive
lampada,la lampada,sostantivo,lamp
asciugare/si,asciugare,verbo transitivo - verbo riflessivo - verbo transitivo pronominale,to dry
riscaldamento,il riscaldamento,sostantivo,heating
sopra,sopra,prep. - avv.,above
ombrello,l'ombrello,sostantivo,umbrella
lettera,la lettera,sostantivo,letter
cugino/a,il cugino,sostantivo,cousin
annoiarsi,annoiarsi,verbo intransitivo pronominale,to get bored
aiuto,l'aiuto,interiezione - sostantivo,help
cantare,cantare,verbo transitivo,to sing
collega,il collega,sostantivo,colleague
verbo,il verbo,sostantivo,verb
conversazione,la conversazione,sostantivo,conversation
est,l'est,sostantivo,east
persona,la persona,sostantivo,person
costare,costare,verbo transitivo,to cost
radio,la radio,sostantivo,radio
sempre,sempre,avverbio,always
bambino/a,il bambino,sostantivo,child
ferro,il ferro,sostantivo,iron
ospedale,l'ospedale,sostantivo,hospital
pallacanestro,la pallacanestro,sostantivo,basketball
uovo,l'uovo,sostantivo,egg
martedì,il martedì,sostantivo,Tuesday
domanda,la domanda,sostantivo,question
avanti,avanti,avverbio,forward
pausa,la pausa,sostantivo,break
cenare,cenare,verbo intransitivo,to dine
pulire,pulire,verbo transitivo,to clean
scala,la scala,sostantivo,staircase
sud,il sud,sostantivo,south
sapone,il sapone,sostantivo,soap
lento,lento/a/i/e,aggettivo,slow
vino,il vino,sostantivo,wine
comprare,comprare,verbo transitivo,to buy
pesce,il pesce,sostantivo,fish
tempo,il tempo,sostantivo,time
intelligente,intelligente/i,aggettivo,intelligent
lavatrice,la lavatrice,sostantivo,washing machine
famiglia,la famiglia,sostantivo,family
pasto,il pasto,sostantivo,meal
oggi,oggi,avverbio,today
niente,niente,pron. - avv.,nothing
sale,il sale,sostantivo,salt
indirizzo,l'indirizzo,sostantivo,address
compleanno,il compleanno,sostantivo,birthday
domenica,la domenica,sostantivo,Sunday
erba,l'erba,sostantivo,grass
a,a,preposizione,to
sigaro,il sigaro,sostantivo,cigar
mobile,il mobile,sostantivo,furniture
grado,il grado,sostantivo,degree
e-mail,l'e-mail,sostantivo,email
natura,la natura,sostantivo,nature
orecchio,l'orecchio,sostantivo,ear
che,che,pronome - congiunzione,that
suocero/a,il suocero,sostantivo,father-in-law
quello,quello,agg. - pron.,that
pezzo,il pezzo,sostantivo,piece
genitore,il genitore,sostantivo,parent
venerdì,il venerdì,sostantivo,Friday
vacanza,la vacanza,sostantivo,holiday
ieri,ieri,avverbio,yesterday
circa,circa,avverbio,approximately
buonanotte,buonanotte,interiezione,goodnight
mondo,il mondo,sostantivo,world
durante,durante,preposizione,during
poco,poco,po',little
giusto,giusto/a/i/e,aggettivo,correct
fax,il fax,sostantivo,fax
gratis,gratis,avverbio,free
pepe,il pepe,sostantivo,pepper
essere,essere,verbo intransitivo,to be
mamma,la mamma,sostantivo,mother
elementare,elementare/i,aggettivo,elementary
viaggiare,viaggiare,verbo intransitivo,to travel
preoccuparsi,preoccuparsi,verbo intransitivo pronominale,to worry
bravo,bravo/a/i/e,aggettivo - interiezione,good
solo,solo/a/i/e,aggettivo - avverbio,alone
pensare,pensare,verbo intransitivo,to think
etto,l'etto,sostantivo,hundred grams
pacco,il pacco,sostantivo,package
femmina,la femmina,sostantivo,female
telefonata,la telefonata,sostantivo,phone call
pensione,la pensione,sostantivo,pension
treno,il treno,sostantivo,train
articolo,l'articolo,sostantivo,article
indossare,indossare,verbo transitivo,to wear
freezer,il congelatore,sostantivo,freezer
colazione,la colazione,sostantivo,breakfast
perdere,perdere,verbo transitivo,lose
punto,il punto,sostantivo,point
qualcosa,qualcosa,pronome,something
torta,la torta,sostantivo,cake
prenotare,prenotare,verbo transitivo,to book
pigro,pigro/a/i/e,aggettivo,lazy
metro,il metro,sostantivo,meter
scrivere,scrivere,verbo transitivo,to write
temporale,il temporale,sostantivo,thunderstorm
materia,la materia,sostantivo,matter
abbastanza,abbastanza,avverbio,enough
visitare,visitare,verbo transitivo,to visit
possibile,possibile/i,aggettivo,possible
animale,l'animale,sostantivo,animal
dentro,dentro,avverbio - preposizione,inside
cinema,il cinema,sostantivo,cinema
nessuno,nessuno,pronome,nobody
succedere,succedere,verbo intransitivo,happen
giacca,la giacca,sostantivo,jacket
birra,la birra,sostantivo,beer
mano,la mano,sostantivo,hand
verde,verde/i,aggettivo,green
oggetto,l'oggetto,sostantivo,object
iniziare,iniziare,verbo transitivo - verbo intransitivo,to begin
pagare,pagare,verbo transitivo,to pay
piscina,la piscina,sostantivo,swimming pool
sporcare,sporcare,verbo transitivo,to dirty
confine,il confine,sostantivo,border
attenzione,l'attenzione,sostantivo,attention
mensa,la mensa,sostantivo,canteen
fortuna,la fortuna,sostantivo,luck
matrimonio,il matrimonio,sostantivo,marriage
corso,il corso,sostantivo,course
appetito,l'appetito,sostantivo,appetite
penna,la penna,sostantivo,pen
sci,lo sci,sostantivo,skiing
pomodoro,il pomodoro,sostantivo,tomato
mostra,la mostra,sostantivo,exhibition
