italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
proseguire,to continue,sto proseguendo,I am continuing,stai proseguendo,you are continuing,sta proseguendo,he/she is continuing,stiamo proseguendo,we are continuing,state proseguendo,you all are continuing,stanno proseguendo,they are continuing
registrare,to register,sto registrando,I am recording,stai registrando,you are recording,sta registrando,he/she is recording,stiamo registrando,we are recording,state registrando,you all are recording,stanno registrando,they are recording
funzionare,to function,sto funzionando,I am functioning,stai funzionando,you are functioning,sta funzionando,it is functioning,stiamo funzionando,we are functioning,state funzionando,you all are functioning,stanno funzionando,they are functioning
votare,to vote,sto votando,I am voting,stai votando,you are voting,sta votando,he/she is voting,stiamo votando,we are voting,state votando,you all are voting,stanno votando,they are voting
compiere,to accomplish,sto compiendo,I am accomplishing,stai compiendo,you are accomplishing,sta compiendo,he/she is accomplishing,stiamo compiendo,we are accomplishing,state compiendo,you all are accomplishing,stanno compiendo,they are accomplishing
rispettare,to respect,sto rispettando,I am respecting,stai rispettando,you are respecting,sta rispettando,he/she is respecting,stiamo rispettando,we are respecting,state rispettando,you all are respecting,stanno rispettando,they are respecting
combattere,to fight,sto combattendo,I am fighting,stai combattendo,you are fighting,sta combattendo,he/she is fighting,stiamo combattendo,we are fighting,state combattendo,you all are fighting,stanno combattendo,they are fighting
imparare,to learn,sto imparando,I am learning,stai imparando,you are learning,sta imparando,he/she is learning,stiamo imparando,we are learning,state imparando,you all are learning,stanno imparando,they are learning
formare,to form,sto formando,I am forming,stai formando,you are forming,sta formando,he/she is forming,stiamo formando,we are forming,state formando,you all are forming,stanno formando,they are forming
colpire,to hit,sto colpendo,I am hitting,stai colpendo,you are hitting,sta colpendo,he/she is hitting,stiamo colpendo,we are hitting,state colpendo,you all are hitting,stanno colpendo,they are hitting
dimenticare,to forget,sto dimenticando,I am forgetting,stai dimenticando,you are forgetting,sta dimenticando,he/she is forgetting,stiamo dimenticando,we are forgetting,state dimenticando,you all are forgetting,stanno dimenticando,they are forgetting
impegnare,to commit,sto impegnando,I am engaging,stai impegnando,you are engaging,sta impegnando,he/she is engaging,stiamo impegnando,we are engaging,state impegnando,you all are engaging,stanno impegnando,they are engaging
difendere,to defend,sto difendendo,I am defending,stai difendendo,you are defending,sta difendendo,he/she is defending,stiamo difendendo,we are defending,state difendendo,you all are defending,stanno difendendo,they are defending
appartenere,to belong,sto appartenendo,I am belonging,stai appartenendo,you are belonging,sta appartenendo,he/she is belonging,stiamo appartenendo,we are belonging,state appartenendo,you all are belonging,stanno appartenendo,they are belonging
annunciare,to announce,sto annunciando,I am announcing,stai annunciando,you are announcing,sta annunciando,he/she is announcing,stiamo annunciando,we are announcing,state annunciando,you all are announcing,stanno annunciando,they are announcing
tendere,to tend,sto tendendo,I am tending,stai tendendo,you are tending,sta tendendo,he/she is tending,stiamo tendendo,we are tending,state tendendo,you all are tending,stanno tendendo,they are tending
fissare,to fix,sto fissando,I am staring,stai fissando,you are staring,sta fissando,he/she is staring,stiamo fissando,we are staring,state fissando,you all are staring,stanno fissando,they are staring
riflettere,to reflect,sto riflettendo,I am reflecting,stai riflettendo,you are reflecting,sta riflettendo,he/she is reflecting,stiamo riflettendo,we are reflecting,state riflettendo,you all are reflecting,stanno riflettendo,they are reflecting
firmare,to sign,sto firmando,I am signing,stai firmando,you are signing,sta firmando,he/she is signing,stiamo firmando,we are signing,state firmando,you all are signing,stanno firmando,they are signing
salire,to go up,sto salendo,I am going up,stai salendo,you are going up,sta salendo,he/she is going up,stiamo salendo,we are going up,state salendo,you all are going up,stanno salendo,they are going up
istituire,to establish,sto istituendo,I am establishing,stai istituendo,you are establishing,sta istituendo,he/she is establishing,stiamo istituendo,we are establishing,state istituendo,you all are establishing,stanno istituendo,they are establishing
costringere,to force,sto costringendo,I am forcing,stai costringendo,you are forcing,sta costringendo,he/she is forcing,stiamo costringendo,we are forcing,state costringendo,you all are forcing,stanno costringendo,they are forcing
eliminare,to eliminate,sto eliminando,I am eliminating,stai eliminando,you are eliminating,sta eliminando,he/she is eliminating,stiamo eliminando,we are eliminating,state eliminando,you all are eliminating,stanno eliminando,they are eliminating
studiare,to study,sto studiando,I am studying,stai studiando,you are studying,sta studiando,he/she is studying,stiamo studiando,we are studying,state studiando,you all are studying,stanno studiando,they are studying
contribuire,to contribute,sto contribuendo,I am contributing,stai contribuendo,you are contributing,sta contribuendo,he/she is contributing,stiamo contribuendo,we are contributing,state contribuendo,you all are contributing,stanno contribuendo,they are contributing
rilevare,to detect,sto rilevando,I am detecting,stai rilevando,you are detecting,sta rilevando,he/she is detecting,stiamo rilevando,we are detecting,state rilevando,you all are detecting,stanno rilevando,they are detecting
spettare,to be due,sto spettando,I am being due,stai spettando,you are being due,sta spettando,he/she is being due,stiamo spettando,we are being due,state spettando,you all are being due,stanno spettando,they are being due
convincere,to convince,sto convincendo,I am convincing,stai convincendo,you are convincing,sta convincendo,he/she is convincing,stiamo convincendo,we are convincing,state convincendo,you all are convincing,stanno convincendo,they are convincing
esercitare,to exercise,sto esercitando,I am exercising,stai esercitando,you are exercising,sta esercitando,he/she is exercising,stiamo esercitando,we are exercising,state esercitando,you all are exercising,stanno esercitando,they are exercising
emergere,to emerge,sto emergendo,I am emerging,stai emergendo,you are emerging,sta emergendo,he/she is emerging,stiamo emergendo,we are emerging,state emergendo,you all are emerging,stanno emergendo,they are emerging
raccogliere,to collect,sto raccogliendo,I am gathering,stai raccogliendo,you are gathering,sta raccogliendo,he/she is gathering,stiamo raccogliendo,we are gathering,state raccogliendo,you all are gathering,stanno raccogliendo,they are gathering
invitare,to invite,sto invitando,I am inviting,stai invitando,you are inviting,sta invitando,he/she is inviting,stiamo invitando,we are inviting,state invitando,you all are inviting,stanno invitando,they are inviting
uccidere,to kill,sto uccidendo,I am killing,stai uccidendo,you are killing,sta uccidendo,he/she is killing,stiamo uccidendo,we are killing,state uccidendo,you all are killing,stanno uccidendo,they are killing
eleggere,to elect,sto eleggendo,I am electing,stai eleggendo,you are electing,sta eleggendo,he/she is electing,stiamo eleggendo,we are electing,state eleggendo,you all are electing,stanno eleggendo,they are electing
salvare,to save,sto salvando,I am saving,stai salvando,you are saving,sta salvando,he/she is saving,stiamo salvando,we are saving,state salvando,you all are saving,stanno salvando,they are saving
sbagliare,to make a mistake,sto sbagliando,I am making a mistake,stai sbagliando,you are making a mistake,sta sbagliando,he/she is making a mistake,stiamo sbagliando,we are making a mistake,state sbagliando,you all are making a mistake,stanno sbagliando,they are making a mistake
acquisire,to acquire,sto acquisendo,I am acquiring,stai acquisendo,you are acquiring,sta acquisendo,he/she is acquiring,stiamo acquisendo,we are acquiring,state acquisendo,you all are acquiring,stanno acquisendo,they are acquiring
aspettare,to wait,sto aspettando,I am waiting,stai aspettando,you are waiting,sta aspettando,he/she is waiting,stiamo aspettando,we are waiting,state aspettando,you all are waiting,stanno aspettando,they are waiting
recuperare,to recover,sto recuperando,I am recovering,stai recuperando,you are recovering,sta recuperando,he/she is recovering,stiamo recuperando,we are recovering,state recuperando,you all are recovering,stanno recuperando,they are recovering
chiudere,to close,sto chiudendo,I am closing,stai chiudendo,you are closing,sta chiudendo,he/she is closing,stiamo chiudendo,we are closing,state chiudendo,you all are closing,stanno chiudendo,they are closing
diffondere,to spread,sto diffondendo,I am spreading,stai diffondendo,you are spreading,sta diffondendo,he/she is spreading,stiamo diffondendo,we are spreading,state diffondendo,you all are spreading,stanno diffondendo,they are spreading
introdurre,to introduce,sto introducendo,I am introducing,stai introducendo,you are introducing,sta introducendo,he/she is introducing,stiamo introducendo,we are introducing,state introducendo,you all are introducing,stanno introducendo,they are introducing
avviare,to start,sto avviando,I am starting,stai avviando,you are starting,sta avviando,he/she is starting,stiamo avviando,we are starting,state avviando,you all are starting,stanno avviando,they are starting
acquistare,to buy,sto acquistando,I am buying,stai acquistando,you are buying,sta acquistando,he/she is buying,stiamo acquistando,we are buying,state acquistando,you all are buying,stanno acquistando,they are buying
nominare,to name,sto nominando,I am nominating,stai nominando,you are nominating,sta nominando,he/she is nominating,stiamo nominando,we are nominating,state nominando,you all are nominating,stanno nominando,they are nominating
amare,to love,sto amando,I am loving,stai amando,you are loving,sta amando,he/she is loving,stiamo amando,we are loving,state amando,you all are loving,stanno amando,they are loving
condurre,to lead,sto conducendo,I am conducting,stai conducendo,you are conducting,sta conducendo,he/she is conducting,stiamo conducendo,we are conducting,state conducendo,you all are conducting,stanno conducendo,they are conducting
vistare,to stamp/approve,sto vistando,I am looking at,stai vistando,you are looking at,sta vistando,he/she is looking at,stiamo vistando,we are looking at,state vistando,you all are looking at,stanno vistando,they are looking at
contare,to count,sto contando,I am counting,stai contando,you are counting,sta contando,he/she is counting,stiamo contando,we are counting,state contando,you all are counting,stanno contando,they are counting
fondare,to found,sto fondando,I am founding,stai fondando,you are founding,sta fondando,he/she is founding,stiamo fondando,we are founding,state fondando,you all are founding,stanno fondando,they are founding
impedire,to prevent,sto impedendo,I am preventing,stai impedendo,you are preventing,sta impedendo,he/she is preventing,stiamo impedendo,we are preventing,state impedendo,you all are preventing,stanno impedendo,they are preventing
rilasciare,to release,sto rilasciando,I am releasing,stai rilasciando,you are releasing,sta rilasciando,he/she is releasing,stiamo rilasciando,we are releasing,state rilasciando,you all are releasing,stanno rilasciando,they are releasing
autorizzare,to authorize,sto autorizzando,I am authorizing,stai autorizzando,you are authorizing,sta autorizzando,he/she is authorizing,stiamo autorizzando,we are authorizing,state autorizzando,you all are authorizing,stanno autorizzando,they are authorizing
precisare,to clarify,sto precisando,I am clarifying,stai precisando,you are clarifying,sta precisando,he/she is clarifying,stiamo precisando,we are clarifying,state precisando,you all are clarifying,stanno precisando,they are clarifying
eseguire,to execute,sto eseguendo,I am executing,stai eseguendo,you are executing,sta eseguendo,he/she is executing,stiamo eseguendo,we are executing,state eseguendo,you all are executing,stanno eseguendo,they are executing
ammettere,to admit,sto ammettendo,I am admitting,stai ammettendo,you are admitting,sta ammettendo,he/she is admitting,stiamo ammettendo,we are admitting,state ammettendo,you all are admitting,stanno ammettendo,they are admitting
citare,to cite,sto citando,I am citing,stai citando,you are citing,sta citando,he/she is citing,stiamo citando,we are citing,state citando,you all are citing,stanno citando,they are citing
soddisfare,to satisfy,sto soddisfacendo,I am satisfying,stai soddisfacendo,you are satisfying,sta soddisfacendo,he/she is satisfying,stiamo soddisfacendo,we are satisfying,state soddisfacendo,you all are satisfying,stanno soddisfacendo,they are satisfying
visitare,to visit,sto visitando,I am visiting,stai visitando,you are visiting,sta visitando,he/she is visiting,stiamo visitando,we are visiting,state visitando,you all are visiting,stanno visitando,they are visiting
segnalare,to signal,sto segnalando,I am pointing out,stai segnalando,you are pointing out,sta segnalando,he/she is pointing out,stiamo segnalando,we are pointing out,state segnalando,you all are pointing out,stanno segnalando,they are pointing out
caratterizzare,to characterize,sto caratterizzando,I am characterizing,stai caratterizzando,you are characterizing,sta caratterizzando,he/she is characterizing,stiamo caratterizzando,we are characterizing,state caratterizzando,you all are characterizing,stanno caratterizzando,they are characterizing
trasmettere,to transmit,sto trasmettendo,I am transmitting,stai trasmettendo,you are transmitting,sta trasmettendo,he/she is transmitting,stiamo trasmettendo,we are transmitting,state trasmettendo,you all are transmitting,stanno trasmettendo,they are transmitting
imporre,to impose,sto imponendo,I am imposing,stai imponendo,you are imposing,sta imponendo,he/she is imposing,stiamo imponendo,we are imposing,state imponendo,you all are imposing,stanno imponendo,they are imposing
correggere,to correct,sto correggendo,I am correcting,stai correggendo,you are correcting,sta correggendo,he/she is correcting,stiamo correggendo,we are correcting,state correggendo,you all are correcting,stanno correggendo,they are correcting
basare,to base,sto basando,I am basing,stai basando,you are basing,sta basando,he/she is basing,stiamo basando,we are basing,state basando,you all are basing,stanno basando,they are basing
sottoporre,to subject,sto sottoponendo,I am subjecting,stai sottoponendo,you are subjecting,sta sottoponendo,he/she is subjecting,stiamo sottoponendo,we are subjecting,state sottoponendo,you all are subjecting,stanno sottoponendo,they are subjecting
immaginare,to imagine,sto immaginando,I am imagining,stai immaginando,you are imagining,sta immaginando,he/she is imagining,stiamo immaginando,we are imagining,state immaginando,you all are imagining,stanno immaginando,they are imagining
correre,to run,sto correndo,I am running,stai correndo,you are running,sta correndo,he/she is running,stiamo correndo,we are running,state correndo,you all are running,stanno correndo,they are running
vendere,to sell,sto vendendo,I am selling,stai vendendo,you are selling,sta vendendo,he/she is selling,stiamo vendendo,we are selling,state vendendo,you all are selling,stanno vendendo,they are selling
ricorrere,to resort,sto ricorrendo,I am resorting,stai ricorrendo,you are resorting,sta ricorrendo,he/she is resorting,stiamo ricorrendo,we are resorting,state ricorrendo,you all are resorting,stanno ricorrendo,they are resorting
approfondire,to deepen,sto approfondendo,I am deepening,stai approfondendo,you are deepening,sta approfondendo,he/she is deepening,stiamo approfondendo,we are deepening,state approfondendo,you all are deepening,stanno approfondendo,they are deepening
rivelare,to reveal,sto rivelando,I am revealing,stai rivelando,you are revealing,sta rivelando,he/she is revealing,stiamo rivelando,we are revealing,state rivelando,you all are revealing,stanno rivelando,they are revealing
condividere,to share,sto condividendo,I am sharing,stai condividendo,you are sharing,sta condividendo,he/she is sharing,stiamo condividendo,we are sharing,state condividendo,you all are sharing,stanno condividendo,they are sharing
cadere,to fall,sto cadendo,I am falling,stai cadendo,you are falling,sta cadendo,he/she is falling,stiamo cadendo,we are falling,state cadendo,you all are falling,stanno cadendo,they are falling
subire,to suffer,sto subendo,I am suffering,stai subendo,you are suffering,sta subendo,he/she is suffering,stiamo subendo,we are suffering,state subendo,you all are suffering,stanno subendo,they are suffering
costare,to cost,sto costando,I am costing,stai costando,you are costing,sta costando,it is costing,stiamo costando,we are costing,state costando,you all are costing,stanno costando,they are costing
affidare,to entrust,sto affidando,I am entrusting,stai affidando,you are entrusting,sta affidando,he/she is entrusting,stiamo affidando,we are entrusting,state affidando,you all are entrusting,stanno affidando,they are entrusting
conseguire,to achieve,sto conseguendo,I am achieving,stai conseguendo,you are achieving,sta conseguendo,he/she is achieving,stiamo conseguendo,we are achieving,state conseguendo,you all are achieving,stanno conseguendo,they are achieving
accompagnare,to accompany,sto accompagnando,I am accompanying,stai accompagnando,you are accompanying,sta accompagnando,he/she is accompanying,stiamo accompagnando,we are accompanying,state accompagnando,you all are accompanying,stanno accompagnando,they are accompanying
revocare,to revoke,sto revocando,I am revoking,stai revocando,you are revoking,sta revocando,he/she is revoking,stiamo revocando,we are revoking,state revocando,you all are revoking,stanno revocando,they are revoking
toccare,to touch,sto toccando,I am touching,stai toccando,you are touching,sta toccando,he/she is touching,stiamo toccando,we are touching,state toccando,you all are touching,stanno toccando,they are touching
lanciare,to throw,sto lanciando,I am throwing,stai lanciando,you are throwing,sta lanciando,he/she is throwing,stiamo lanciando,we are throwing,state lanciando,you all are throwing,stanno lanciando,they are throwing
assegnare,to assign,sto assegnando,I am assigning,stai assegnando,you are assigning,sta assegnando,he/she is assigning,stiamo assegnando,we are assigning,state assegnando,you all are assigning,stanno assegnando,they are assigning
possedere,to possess,sto possedendo,I am possessing,stai possedendo,you are possessing,sta possedendo,he/she is possessing,stiamo possedendo,we are possessing,state possedendo,you all are possessing,stanno possedendo,they are possessing
evidenziare,to highlight,sto evidenziando,I am highlighting,stai evidenziando,you are highlighting,sta evidenziando,he/she is highlighting,stiamo evidenziando,we are highlighting,state evidenziando,you all are highlighting,stanno evidenziando,they are highlighting
sottoscrivere,to subscribe,sto sottoscrivendo,I am subscribing,stai sottoscrivendo,you are subscribing,sta sottoscrivendo,he/she is subscribing,stiamo sottoscrivendo,we are subscribing,state sottoscrivendo,you all are subscribing,stanno sottoscrivendo,they are subscribing
fermare,to stop,sto fermando,I am stopping,stai fermando,you are stopping,sta fermando,he/she is stopping,stiamo fermando,we are stopping,state fermando,you all are stopping,stanno fermando,they are stopping
riservare,to reserve,sto riservando,I am reserving,stai riservando,you are reserving,sta riservando,he/she is reserving,stiamo riservando,we are reserving,state riservando,you all are reserving,stanno riservando,they are reserving
preferire,to prefer,sto preferendo,I am preferring,stai preferendo,you are preferring,sta preferendo,he/she is preferring,stiamo preferendo,we are preferring,state preferendo,you all are preferring,stanno preferendo,they are preferring
corrispondere,to correspond,sto corrispondendo,I am corresponding,stai corrispondendo,you are corresponding,sta corrispondendo,he/she is corresponding,stiamo corrispondendo,we are corresponding,state corrispondendo,you all are corresponding,stanno corrispondendo,they are corresponding
muovere,to move,sto muovendo,I am moving,stai muovendo,you are moving,sta muovendo,he/she is moving,stiamo muovendo,we are moving,state muovendo,you all are moving,stanno muovendo,they are moving
terminare,to finish,sto terminando,I am finishing,stai terminando,you are finishing,sta terminando,he/she is finishing,stiamo terminando,we are finishing,state terminando,you all are finishing,stanno terminando,they are finishing
prescindere,to prescind,sto prescindendo,I am disregarding,stai prescindendo,you are disregarding,sta prescindendo,he/she is disregarding,stiamo prescindendo,we are disregarding,state prescindendo,you all are disregarding,stanno prescindendo,they are disregarding
accogliere,to welcome,sto accogliendo,I am welcoming,stai accogliendo,you are welcoming,sta accogliendo,he/she is welcoming,stiamo accogliendo,we are welcoming,state accogliendo,you all are welcoming,stanno accogliendo,they are welcoming
dirigere,to direct,sto dirigendo,I am directing,stai dirigendo,you are directing,sta dirigendo,he/she is directing,stiamo dirigendo,we are directing,state dirigendo,you all are directing,stanno dirigendo,they are directing
attribuire,to attribute,sto attribuendo,I am attributing,stai attribuendo,you are attributing,sta attribuendo,he/she is attributing,stiamo attribuendo,we are attributing,state attribuendo,you all are attributing,stanno attribuendo,they are attributing
incontrare,to meet,sto incontrando,I am meeting,stai incontrando,you are meeting,sta incontrando,he/she is meeting,stiamo incontrando,we are meeting,state incontrando,you all are meeting,stanno incontrando,they are meeting
attivare,to activate,sto attivando,I am activating,stai attivando,you are activating,sta attivando,he/she is activating,stiamo attivando,we are activating,state attivando,you all are activating,stanno attivando,they are activating
importare,to import,sto importando,I am importing,stai importando,you are importing,sta importando,he/she is importing,stiamo importando,we are importing,state importando,you all are importing,stanno importando,they are importing
valorizzare,to enhance,sto valorizzando,I am enhancing,stai valorizzando,you are enhancing,sta valorizzando,he/she is enhancing,stiamo valorizzando,we are enhancing,state valorizzando,you all are enhancing,stanno valorizzando,they are enhancing
cogliere,to gather,sto cogliendo,I am gathering,stai cogliendo,you are gathering,sta cogliendo,he/she is gathering,stiamo cogliendo,we are gathering,state cogliendo,you all are gathering,stanno cogliendo,they are gathering
attuare,to implement,sto attuando,I am implementing,stai attuando,you are implementing,sta attuando,he/she is implementing,stiamo attuando,we are implementing,state attuando,you all are implementing,stanno attuando,they are implementing
scaricare,to download,sto scaricando,I am downloading,stai scaricando,you are downloading,sta scaricando,he/she is downloading,stiamo scaricando,we are downloading,state scaricando,you all are downloading,stanno scaricando,they are downloading
farcire,to stuff,sto farcendo,I am stuffing,stai farcendo,you are stuffing,sta farcendo,he/she is stuffing,stiamo farcendo,we are stuffing,state farcendo,you all are stuffing,stanno farcendo,they are stuffing
scendere,to descend,sto scendendo,I am getting off,stai scendendo,you are getting off,sta scendendo,he/she is getting off,stiamo scendendo,we are getting off,state scendendo,you all are getting off,stanno scendendo,they are getting off
comprare,to buy,sto comprando,I am buying,stai comprando,you are buying,sta comprando,he/she is buying,stiamo comprando,we are buying,state comprando,you all are buying,stanno comprando,they are buying
rafforzare,to strengthen,sto rafforzando,I am strengthening,stai rafforzando,you are strengthening,sta rafforzando,he/she is strengthening,stiamo rafforzando,we are strengthening,state rafforzando,you all are strengthening,stanno rafforzando,they are strengthening
ridere,to laugh,sto ridendo,I am laughing,stai ridendo,you are laughing,sta ridendo,he/she is laughing,stiamo ridendo,we are laughing,state ridendo,you all are laughing,stanno ridendo,they are laughing
meritare,to deserve,sto meritando,I am deserving,stai meritando,you are deserving,sta meritando,he/she is deserving,stiamo meritando,we are deserving,state meritando,you all are deserving,stanno meritando,they are deserving
ringraziare,to thank,sto ringraziando,I am thanking,stai ringraziando,you are thanking,sta ringraziando,he/she is thanking,stiamo ringraziando,we are thanking,state ringraziando,you all are thanking,stanno ringraziando,they are thanking
chiarire,to clarify,sto chiarendo,I am clarifying,stai chiarendo,you are clarifying,sta chiarendo,he/she is clarifying,stiamo chiarendo,we are clarifying,state chiarendo,you all are clarifying,stanno chiarendo,they are clarifying
avvertire,to warn,sto avvertendo,I am warning,stai avvertendo,you are warning,sta avvertendo,he/she is warning,stiamo avvertendo,we are warning,state avvertendo,you all are warning,stanno avvertendo,they are warning
giungere,to arrive,sto giungendo,I am arriving,stai giungendo,you are arriving,sta giungendo,he/she is arriving,stiamo giungendo,we are arriving,state giungendo,you all are arriving,stanno giungendo,they are arriving
commentare,to comment,sto commentando,I am commenting,stai commentando,you are commenting,sta commentando,he/she is commenting,stiamo commentando,we are commenting,state commentando,you all are commenting,stanno commentando,they are commenting
rientrare,to re-enter,sto rientrando,I am returning,stai rientrando,you are returning,sta rientrando,he/she is returning,stiamo rientrando,we are returning,state rientrando,you all are returning,stanno rientrando,they are returning
bere,to drink,sto bevendo,I am drinking,stai bevendo,you are drinking,sta bevendo,he/she is drinking,stiamo bevendo,we are drinking,state bevendo,you all are drinking,stanno bevendo,they are drinking
girare,to turn,sto girando,I am turning,stai girando,you are turning,sta girando,he/she is turning,stiamo girando,we are turning,state girando,you all are turning,stanno girando,they are turning
prestare,to lend,sto prestando,I am lending,stai prestando,you are lending,sta prestando,he/she is lending,stiamo prestando,we are lending,state prestando,you all are lending,stanno prestando,they are lending
rinunciare,to renounce,sto rinunciando,I am giving up,stai rinunciando,you are giving up,sta rinunciando,he/she is giving up,stiamo rinunciando,we are giving up,state rinunciando,you all are giving up,stanno rinunciando,they are giving up
esporre,to expose,sto esponendo,I am exhibiting,stai esponendo,you are exhibiting,sta esponendo,he/she is exhibiting,stiamo esponendo,we are exhibiting,state esponendo,you all are exhibiting,stanno esponendo,they are exhibiting
pervenire,to reach,sto pervenendo,I am arriving,stai pervenendo,you are arriving,sta pervenendo,he/she is arriving,stiamo pervenendo,we are arriving,state pervenendo,you all are arriving,stanno pervenendo,they are arriving
predisporre,to prepare,sto predisponendo,I am preparing,stai predisponendo,you are preparing,sta predisponendo,he/she is preparing,stiamo predisponendo,we are preparing,state predisponendo,you all are preparing,stanno predisponendo,they are preparing
tutelare,to protect,sto tutelando,I am protecting,stai tutelando,you are protecting,sta tutelando,he/she is protecting,stiamo tutelando,we are protecting,state tutelando,you all are protecting,stanno tutelando,they are protecting
trasformare,to transform,sto trasformando,I am transforming,stai trasformando,you are transforming,sta trasformando,he/she is transforming,stiamo trasformando,we are transforming,state trasformando,you all are transforming,stanno trasformando,they are transforming
assistere,to assist,sto assistendo,I am assisting,stai assistendo,you are assisting,sta assistendo,he/she is assisting,stiamo assistendo,we are assisting,state assistendo,you all are assisting,stanno assistendo,they are assisting
limitare,to limit,sto limitando,I am limiting,stai limitando,you are limiting,sta limitando,he/she is limiting,stiamo limitando,we are limiting,state limitando,you all are limiting,stanno limitando,they are limiting
riprendere,to resume,sto riprendendo,I am resuming,stai riprendendo,you are resuming,sta riprendendo,he/she is resuming,stiamo riprendendo,we are resuming,state riprendendo,you all are resuming,stanno riprendendo,they are resuming
mandare,to send,sto mandando,I am sending,stai mandando,you are sending,sta mandando,he/she is sending,stiamo mandando,we are sending,state mandando,you all are sending,stanno mandando,they are sending
dotare,to endow,sto dotando,I am endowing,stai dotando,you are endowing,sta dotando,he/she is endowing,stiamo dotando,we are endowing,state dotando,you all are endowing,stanno dotando,they are endowing
prevenire,to prevent,sto prevenendo,I am preventing,stai prevenendo,you are preventing,sta prevenendo,he/she is preventing,stiamo prevenendo,we are preventing,state prevenendo,you all are preventing,stanno prevenendo,they are preventing
tentare,to attempt,sto tentando,I am attempting,stai tentando,you are attempting,sta tentando,he/she is attempting,stiamo tentando,we are attempting,state tentando,you all are attempting,stanno tentando,they are attempting
curare,to cure,sto curando,I am treating,stai curando,you are treating,sta curando,he/she is treating,stiamo curando,we are treating,state curando,you all are treating,stanno curando,they are treating
finalizzare,to finalize,sto finalizzando,I am finalizing,stai finalizzando,you are finalizing,sta finalizzando,he/she is finalizing,stiamo finalizzando,we are finalizing,state finalizzando,you all are finalizing,stanno finalizzando,they are finalizing
addossare,to place upon,sto addossando,I am shouldering,stai addossando,you are shouldering,sta addossando,he/she is shouldering,stiamo addossando,we are shouldering,state addossando,you all are shouldering,stanno addossando,they are shouldering
escludere,to exclude,sto escludendo,I am excluding,stai escludendo,you are excluding,sta escludendo,he/she is excluding,stiamo escludendo,we are excluding,state escludendo,you all are excluding,stanno escludendo,they are excluding
attenere,to pertain,sto attenendo,I am adhering,stai attenendo,you are adhering,sta attenendo,he/she is adhering,stiamo attenendo,we are adhering,state attenendo,you all are adhering,stanno attenendo,they are adhering
dormire,to sleep,sto dormendo,I am sleeping,stai dormendo,you are sleeping,sta dormendo,he/she is sleeping,stiamo dormendo,we are sleeping,state dormendo,you all are sleeping,stanno dormendo,they are sleeping
coprire,to cover,sto coprendo,I am covering,stai coprendo,you are covering,sta coprendo,he/she is covering,stiamo coprendo,we are covering,state coprendo,you all are covering,stanno coprendo,they are covering
preparare,to prepare,sto preparando,I am preparing,stai preparando,you are preparing,sta preparando,he/she is preparing,stiamo preparando,we are preparing,state preparando,you all are preparing,stanno preparando,they are preparing
consultare,to consult,sto consultando,I am consulting,stai consultando,you are consulting,sta consultando,he/she is consulting,stiamo consultando,we are consulting,state consultando,you all are consulting,stanno consultando,they are consulting
collegare,to connect,sto collegando,I am connecting,stai collegando,you are connecting,sta collegando,he/she is connecting,stiamo collegando,we are connecting,state collegando,you all are connecting,stanno collegando,they are connecting
condannare,to condemn,sto condannando,I am condemning,stai condannando,you are condemning,sta condannando,he/she is condemning,stiamo condannando,we are condemning,state condannando,you all are condemning,stanno condannando,they are condemning
avanzare,to advance,sto avanzando,I am advancing,stai avanzando,you are advancing,sta avanzando,he/she is advancing,stiamo avanzando,we are advancing,state avanzando,you all are advancing,stanno avanzando,they are advancing
segnare,to mark,sto segnando,I am marking,stai segnando,you are marking,sta segnando,he/she is marking,stiamo segnando,we are marking,state segnando,you all are marking,stanno segnando,they are marking
esercire,to exercise (rare),sto esercendo,I am exercising,stai esercendo,you are exercising,sta esercendo,he/she is exercising,stiamo esercendo,we are exercising,state esercendo,you all are exercising,stanno esercendo,they are exercising
pungere,to sting,sto pungendo,I am pricking,stai pungendo,you are pricking,sta pungendo,he/she is pricking,stiamo pungendo,we are pricking,state pungendo,you all are pricking,stanno pungendo,they are pricking
puntare,to point,sto puntando,I am aiming,stai puntando,you are aiming,sta puntando,he/she is aiming,stiamo puntando,we are aiming,state puntando,you all are aiming,stanno puntando,they are aiming
proteggere,to protect,sto proteggendo,I am protecting,stai proteggendo,you are protecting,sta proteggendo,he/she is protecting,stiamo proteggendo,we are protecting,state proteggendo,you all are protecting,stanno proteggendo,they are protecting
attendere,to wait,sto attendendo,I am waiting,stai attendendo,you are waiting,sta attendendo,he/she is waiting,stiamo attendendo,we are waiting,state attendendo,you all are waiting,stanno attendendo,they are waiting
descrivere,to describe,sto descrivendo,I am describing,stai descrivendo,you are describing,sta descrivendo,he/she is describing,stiamo descrivendo,we are describing,state descrivendo,you all are describing,stanno descrivendo,they are describing
distinguere,to distinguish,sto distinguendo,I am distinguishing,stai distinguendo,you are distinguishing,sta distinguendo,he/she is distinguishing,stiamo distinguendo,we are distinguishing,state distinguendo,you all are distinguishing,stanno distinguendo,they are distinguishing
analizzare,to analyze,sto analizzando,I am analyzing,stai analizzando,you are analyzing,sta analizzando,he/she is analyzing,stiamo analizzando,we are analyzing,state analizzando,you all are analyzing,stanno analizzando,they are analyzing
